id,entity_name,entity_description,entity_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
5852,TimePeriod,The past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[ 0.0014438   0.01662227  0.0182588  ... -0.00808121  0.02035518
 -0.01313281]","[-0.06603158 -0.01852301  0.06213481 ... -0.00808121  0.02035518
 -0.01313281]",0,23,DBSCAN_0_AGG_23
5853,PrescriptionPainRelieverUse,Use of a prescription pain reliever by the respondent.,"[ 0.0187654  -0.02456795 -0.00910401 ... -0.01395614  0.00525588
  0.04524848]","[ 8.87902570e-05  1.34347770e-02  1.39752973e-03 ... -3.32562290e-02
  1.46367243e-02  4.01407517e-02]","[ 0.0187654  -0.02456795 -0.00910401 ... -0.03325623  0.01463672
  0.04014075]",0,38,DBSCAN_0_AGG_38
5854,SocialRelations,The relationships between the respondent and their family or friends.,"[ 0.02880207  0.00204397  0.02084134 ...  0.00850579 -0.0238822
  0.01851767]","[ 0.03465321 -0.00581284  0.03431088 ... -0.01832723 -0.02475229
  0.02701686]","[ 0.02880207  0.00204397  0.02084134 ... -0.01832723 -0.02475229
  0.02701686]",0,18,DBSCAN_0_AGG_18
5855,ArgumentOrProblem,Conflict or issue arising between the respondent and their family or friends.,"[-0.01443312 -0.04162512 -0.00192863 ... -0.00641552  0.01480838
  0.02284763]","[ 0.00042431  0.00915385  0.04169793 ...  0.03347543 -0.02767444
  0.02086227]","[-0.01443312 -0.04162512 -0.00192863 ...  0.03347543 -0.02767444
  0.02086227]",0,24,DBSCAN_0_AGG_24
5856,PrescriptionPainRelieverUse,Continued use of prescription pain relievers despite causing arguments or problems with family or friends.,"[ 0.01875476 -0.02457273 -0.00909863 ... -0.01398745  0.00530694
  0.04528588]","[ 0.0493041   0.00465107  0.02075521 ... -0.03187307 -0.00700453
  0.05681843]","[ 0.01875476 -0.02457273 -0.00909863 ... -0.03187307 -0.00700453
  0.05681843]",0,38,DBSCAN_0_AGG_38
5857,ArgumentsOrProblems,Arguments or problems with family or friends caused by the use of prescription pain relievers.,"[-0.02069931 -0.03651271  0.02874498 ... -0.01711533 -0.0082139
  0.00078354]","[ 0.01012439 -0.00750139  0.00675998 ... -0.03474066 -0.01520216
  0.02165684]","[-0.02069931 -0.03651271  0.02874498 ... -0.03474066 -0.01520216
  0.02165684]",0,24,DBSCAN_0_AGG_24
5858,FamilyOrFriends,Family or friends affected by the respondent's use of prescription pain relievers.,"[ 0.01432636 -0.02202895  0.00519416 ...  0.00835139 -0.02233072
  0.01017708]","[ 0.02128378  0.01432967  0.00217052 ... -0.02826598 -0.00498729
  0.02520336]","[ 0.01432636 -0.02202895  0.00519416 ... -0.02826598 -0.00498729
  0.02520336]",0,9,DBSCAN_0_AGG_9
5859,PrescriptionPainReliever,A type of medication used to relieve pain.,"[ 0.0114299  -0.03438663 -0.03677252 ... -0.00350987  0.01183252
  0.04756866]","[-0.00254109 -0.00646631 -0.06719499 ... -0.01842714 -0.02176798
  0.02363801]","[ 0.0114299  -0.03438663 -0.03677252 ... -0.01842714 -0.02176798
  0.02363801]",0,38,DBSCAN_0_AGG_38
5860,PhysicalHarm,Getting physically hurt.,"[ 0.00867724  0.04470222  0.01724188 ... -0.03372372  0.01211154
  0.01800193]","[-0.03146227  0.0459471  -0.00143412 ... -0.01735133 -0.00043318
  0.02420601]","[ 0.00867724  0.04470222  0.01724188 ... -0.01735133 -0.00043318
  0.02420601]",0,5,DBSCAN_0_AGG_5
5861,Past12Months,The time frame referring to the last 12 months.,"[-0.01330907 -0.00011016  0.0654183  ...  0.02108669  0.02113465
  0.01659438]","[-0.01327434  0.02341064  0.04264596 ... -0.00825872  0.02329247
  0.01618918]","[-0.01330907 -0.00011016  0.0654183  ... -0.00825872  0.02329247
  0.01618918]",0,23,DBSCAN_0_AGG_23
5862,RepeatedSituations,Recurring scenarios.,"[-0.02621596 -0.00574276  0.02297104 ... -0.04235002 -0.02319743
  0.05403174]","[-0.06195426  0.03755001  0.0378754  ... -0.03976266 -0.00599938
  0.03797301]","[-0.02621596 -0.00574276  0.02297104 ... -0.03976266 -0.00599938
  0.03797301]",-1,36,DBSCAN_-1_AGG_36
5863,WithdrawalSymptom,Feeling kind of blue or down during withdrawal from using less or stopping the use of prescription pain relievers in the past 12 months.,"[-0.01767788 -0.02011621 -0.01691236 ...  0.02174649 -0.03617799
 -0.00937055]","[-0.01015933  0.00018379  0.01173023 ... -0.03301461 -0.00808626
  0.01655881]","[-0.01767788 -0.02011621 -0.01691236 ... -0.03301461 -0.00808626
  0.01655881]",0,25,DBSCAN_0_AGG_25
5864,SubstanceUse,Use of prescription pain relievers.,"[-0.05152125  0.01472578 -0.01722438 ... -0.01237148 -0.09149882
  0.04012946]","[ 0.02341129  0.00818789  0.03714538 ... -0.05649979 -0.01400365
  0.04695737]","[-0.05152125  0.01472578 -0.01722438 ... -0.05649979 -0.01400365
  0.04695737]",0,31,DBSCAN_0_AGG_31
5865,TimePeriod,Past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.00067027  0.02218435  0.0167064  ... -0.00204742  0.02623149
 -0.01016556]","[-0.06603158 -0.01852301  0.06213481 ... -0.00204742  0.02623149
 -0.01016556]",0,23,DBSCAN_0_AGG_23
5866,MentalHealthSymptom,Feeling kind of blue or down.,"[-0.03559257 -0.01745704 -0.00251077 ...  0.04124667 -0.04285809
  0.01180294]","[-0.00656033 -0.00321981 -0.01549856 ... -0.01510023 -0.02414105
  0.0037992 ]","[-0.03559257 -0.01745704 -0.00251077 ... -0.01510023 -0.02414105
  0.0037992 ]",0,28,DBSCAN_0_AGG_28
5867,WithdrawalSymptom,Vomiting or feeling nauseous as a withdrawal symptom from pain relievers.,"[-0.01767788 -0.02011621 -0.01691236 ...  0.02174649 -0.03617799
 -0.00937055]","[-0.04892292  0.03303558 -0.01777869 ...  0.02253572 -0.00462234
 -0.01969296]","[-0.01767788 -0.02011621 -0.01691236 ...  0.02253572 -0.00462234
 -0.01969296]",0,25,DBSCAN_0_AGG_25
5868,PainReliever,Pain relievers related to the withdrawal symptom.,"[ 0.00249754 -0.00729815 -0.04648851 ...  0.00028526  0.02222236
  0.03064154]","[-0.03152291  0.01353935  0.00575229 ...  0.01884915 -0.02733709
 -0.00609142]","[ 0.00249754 -0.00729815 -0.04648851 ...  0.01884915 -0.02733709
 -0.00609142]",0,38,DBSCAN_0_AGG_38
5869,TimePeriod,Past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.00067027  0.02218435  0.0167064  ... -0.00204742  0.02623149
 -0.01016556]","[-0.06603158 -0.01852301  0.06213481 ... -0.00204742  0.02623149
 -0.01016556]",0,23,DBSCAN_0_AGG_23
5870,Muscle_Cramps_Aches,This entity represents the symptom of having cramps or muscle aches as part of drug withdrawal symptoms in the past 12 months.,"[ 0.00684098  0.01283357 -0.0283335  ...  0.01274603 -0.01684658
  0.00403995]","[-0.00856057  0.0345424  -0.00824679 ... -0.010184   -0.01944033
  0.00649375]","[ 0.00684098  0.01283357 -0.0283335  ... -0.010184   -0.01944033
  0.00649375]",-1,25,DBSCAN_-1_AGG_25
5871,Withdrawal_Symptom,"This entity represents symptoms experienced when discontinuing drug use, such as muscle cramps or aches.","[-0.01212279 -0.01726666 -0.02388435 ...  0.0166309  -0.0302275
 -0.00826488]","[-0.0035593   0.00554238 -0.03554812 ...  0.01056576 -0.04705577
 -0.00355609]","[-0.01212279 -0.01726666 -0.02388435 ...  0.01056576 -0.04705577
 -0.00355609]",0,25,DBSCAN_0_AGG_25
5872,Past_12_Months,A time period referring to the previous 12 months before the survey.,"[-0.00800663  0.0057489   0.02279364 ... -0.00991091  0.02673204
  0.02152412]","[ 0.00886006  0.01460281  0.03199075 ... -0.01234787  0.01917656
 -0.00387428]","[-0.00800663  0.0057489   0.02279364 ... -0.01234787  0.01917656
 -0.00387428]",0,23,DBSCAN_0_AGG_23
5873,WithdrawalSymptom,Teary eyes or a runny nose experienced during prescription drug withdrawal in the past 12 months.,"[-0.01767788 -0.02011621 -0.01691236 ...  0.02174649 -0.03617799
 -0.00937055]","[-0.02195007  0.02161444 -0.02052701 ... -0.01691565 -0.00722943
 -0.00462831]","[-0.01767788 -0.02011621 -0.01691236 ... -0.01691565 -0.00722943
 -0.00462831]",0,25,DBSCAN_0_AGG_25
5874,SymptomType,Having teary eyes or a runny nose.,"[-0.0537356   0.02622106 -0.02360598 ...  0.020541   -0.03751088
  0.01308944]","[-0.00986155  0.02590497 -0.02215839 ... -0.04091809  0.00966753
 -0.02550356]","[-0.0537356   0.02622106 -0.02360598 ... -0.04091809  0.00966753
 -0.02550356]",-1,25,DBSCAN_-1_AGG_25
5875,TimePeriod,Past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.00067027  0.02218435  0.0167064  ... -0.00204742  0.02623149
 -0.01016556]","[-0.06603158 -0.01852301  0.06213481 ... -0.00204742  0.02623149
 -0.01016556]",0,23,DBSCAN_0_AGG_23
5876,WithdrawalSymptom,"Feeling sweaty, having enlarged eye pupils, or having body hair standing up on your skin","[-0.017698   -0.02015133 -0.01691804 ...  0.02173961 -0.03624687
 -0.0093737 ]","[ 0.02404629  0.01779057  0.0172669  ... -0.00911466 -0.01256804
 -0.02892914]","[-0.017698   -0.02015133 -0.01691804 ... -0.00911466 -0.01256804
 -0.02892914]",0,25,DBSCAN_0_AGG_25
5877,Respondent,Individual participating in the survey,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.02307284  0.01630029  0.0525796  ... -0.04171274  0.00035186
  0.01730078]","[-0.00286051  0.01264529 -0.00938681 ... -0.04171274  0.00035186
  0.01730078]",0,17,DBSCAN_0_AGG_17
5878,TimePeriod,Past 12 months,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]",[0.0085495  0.01757479 0.02713536 ... 0.00680614 0.02194619 0.00469107],"[-0.06603158 -0.01852301  0.06213481 ...  0.00680614  0.02194619
  0.00469107]",0,23,DBSCAN_0_AGG_23
5879,WithdrawalSymptom,Diarrhea experienced as a symptom of withdrawal from prescription pain relievers in the past 12 months.,"[-0.01767788 -0.02011621 -0.01691236 ...  0.02174649 -0.03617799
 -0.00937055]","[ 0.00119193 -0.00361144  0.00327974 ... -0.00843186 -0.00708648
 -0.00864885]","[-0.01767788 -0.02011621 -0.01691236 ... -0.00843186 -0.00708648
 -0.00864885]",0,25,DBSCAN_0_AGG_25
5880,Substance,Prescription pain relievers.,"[-0.02615781  0.02583181 -0.04094492 ... -0.01176189 -0.05977437
  0.03437287]","[ 0.01085933  0.01010624 -0.02295589 ... -0.02385692 -0.00368142
  0.03399678]","[-0.02615781  0.02583181 -0.04094492 ... -0.02385692 -0.00368142
  0.03399678]",0,31,DBSCAN_0_AGG_31
5881,TimePeriod,Past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.00067027  0.02218435  0.0167064  ... -0.00204742  0.02623149
 -0.01016556]","[-0.06603158 -0.01852301  0.06213481 ... -0.00204742  0.02623149
 -0.01016556]",0,23,DBSCAN_0_AGG_23
5882,WithdrawalSymptom,Yawning as a part of the withdrawal symptoms from pain relievers in the past 12 months.,"[-0.01767788 -0.02011621 -0.01691236 ...  0.02174649 -0.03617799
 -0.00937055]","[-0.02888883  0.03302763  0.00805687 ... -0.00815344  0.00733947
  0.01714843]","[-0.01767788 -0.02011621 -0.01691236 ... -0.00815344  0.00733947
  0.01714843]",0,25,DBSCAN_0_AGG_25
5883,TimePeriod,Past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.00067027  0.02218435  0.0167064  ... -0.00204742  0.02623149
 -0.01016556]","[-0.06603158 -0.01852301  0.06213481 ... -0.00204742  0.02623149
 -0.01016556]",0,23,DBSCAN_0_AGG_23
5884,Health Symptom,Having a fever,"[-0.03832526 -0.02183806 -0.01656868 ...  0.02576294 -0.04044387
  0.00438663]","[-0.00479453 -0.03014286 -0.02951941 ...  0.01319428  0.01797187
  0.00079626]","[-0.03832526 -0.02183806 -0.01656868 ...  0.01319428  0.01797187
  0.00079626]",0,25,DBSCAN_0_AGG_25
5885,Withdrawal Symptom,PN RLVR WITHDRAWAL SYMPTOM,"[-0.02385978 -0.02188767 -0.02058219 ...  0.0225543  -0.03730348
 -0.01011055]","[-0.02720587  0.02467276  0.01016821 ... -0.02657617  0.01199291
  0.0041646 ]","[-0.02385978 -0.02188767 -0.02058219 ... -0.02657617  0.01199291
  0.0041646 ]",0,25,DBSCAN_0_AGG_25
5886,Time Period,Past 12 months,"[-0.01694879 -0.01337507  0.06459841 ... -0.01791384  0.02822788
  0.00093961]",[0.0085495  0.01757479 0.02713536 ... 0.00680614 0.02194619 0.00469107],"[-0.01694879 -0.01337507  0.06459841 ...  0.00680614  0.02194619
  0.00469107]",0,23,DBSCAN_0_AGG_23
5887,WithdrawalSymptom,Trouble sleeping as a withdrawal symptom from pain relievers in the past 12 months.,"[-0.01767788 -0.02011621 -0.01691236 ...  0.02174649 -0.03617799
 -0.00937055]","[-0.01638116 -0.00063721  0.01425994 ... -0.02008408  0.01920127
 -0.00844807]","[-0.01767788 -0.02011621 -0.01691236 ... -0.02008408  0.01920127
 -0.00844807]",0,25,DBSCAN_0_AGG_25
5888,PainReliever,Pain relievers which the respondent may have withdrawn from.,"[ 0.00249754 -0.00729815 -0.04648851 ...  0.00028526  0.02222236
  0.03064154]","[-0.02264542  0.04448154  0.01424518 ... -0.01518937  0.01772967
 -0.00758344]","[ 0.00249754 -0.00729815 -0.04648851 ... -0.01518937  0.01772967
 -0.00758344]",0,38,DBSCAN_0_AGG_38
5889,SleepDifficulty,Difficulty in sleeping experienced by the respondent.,"[-0.00226759  0.00255083  0.00097437 ...  0.00485888 -0.01341453
 -0.00431829]","[-0.03674827  0.03075145  0.02215412 ...  0.00180384  0.01426731
 -0.01612888]","[-0.00226759  0.00255083  0.00097437 ...  0.00180384  0.01426731
 -0.01612888]",0,25,DBSCAN_0_AGG_25
5890,TimePeriod,Past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[-0.00067027  0.02218435  0.0167064  ... -0.00204742  0.02623149
 -0.01016556]","[-0.06603158 -0.01852301  0.06213481 ... -0.00204742  0.02623149
 -0.01016556]",0,23,DBSCAN_0_AGG_23
5891,PrescriptionPainRelievers,Prescription pain relievers used by the respondent.,"[ 0.01041016 -0.01526637 -0.01162421 ... -0.00635982  0.00378868
  0.03862643]","[-0.0061617   0.02457695  0.02178253 ... -0.02649113  0.01844319
  0.00463176]","[ 0.01041016 -0.01526637 -0.01162421 ... -0.02649113  0.01844319
  0.00463176]",0,38,DBSCAN_0_AGG_38
5892,OtherDrugs,Other drugs used by the respondent.,"[-0.01982578 -0.03162578 -0.03180479 ... -0.00187312 -0.04156105
  0.03041743]","[-0.03228434  0.01626219  0.01205412 ... -0.03009405 -0.02650856
  0.00810109]","[-0.01982578 -0.03162578 -0.03180479 ... -0.03009405 -0.02650856
  0.00810109]",0,38,DBSCAN_0_AGG_38
5893,WithdrawalSymptoms,Withdrawal symptoms from prescription pain relievers.,"[-0.01963642 -0.02639157  0.00722692 ...  0.01844675 -0.0391361
 -0.0146316 ]","[-0.01980266 -0.01961462  0.00605832 ... -0.00991896 -0.02103665
 -0.00086306]","[-0.01963642 -0.02639157  0.00722692 ... -0.00991896 -0.02103665
 -0.00086306]",0,25,DBSCAN_0_AGG_25
5894,UsagePeriod,The time period of the past 12 months.,"[-0.04168942 -0.00595563  0.07710673 ... -0.01099059 -0.01647149
  0.01341456]","[-0.00148368  0.00238837  0.03589787 ... -0.0184095   0.03597682
  0.00786911]","[-0.04168942 -0.00595563  0.07710673 ... -0.0184095   0.03597682
  0.00786911]",0,23,DBSCAN_0_AGG_23
5895,PrescriptionPainReliever,Prescription pain relievers used to get over or avoid withdrawal symptoms.,"[ 0.0114299  -0.03438663 -0.03677252 ... -0.00350987  0.01183252
  0.04756866]","[-0.00147206 -0.01925754 -0.0249808  ... -0.01047466 -0.03664331
  0.02381695]","[ 0.0114299  -0.03438663 -0.03677252 ... -0.01047466 -0.03664331
  0.02381695]",0,38,DBSCAN_0_AGG_38
5896,WithdrawalSymptoms,Withdrawal symptoms from prescription pain relievers.,"[-0.01963642 -0.02639157  0.00722692 ...  0.01844675 -0.0391361
 -0.0146316 ]","[-0.01980266 -0.01961462  0.00605832 ... -0.00991896 -0.02103665
 -0.00086306]","[-0.01963642 -0.02639157  0.00722692 ... -0.00991896 -0.02103665
 -0.00086306]",0,25,DBSCAN_0_AGG_25
5897,TimePeriod,The past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[ 0.0014438   0.01662227  0.0182588  ... -0.00808121  0.02035518
 -0.01313281]","[-0.06603158 -0.01852301  0.06213481 ... -0.00808121  0.02035518
 -0.01313281]",0,23,DBSCAN_0_AGG_23
5898,Respondent,Individual who participated in the survey.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.03748626  0.00417989 -0.01608809 ... -0.05284243  0.01888665
  0.02046532]","[-0.00286051  0.01264529 -0.00938681 ... -0.05284243  0.01888665
  0.02046532]",0,17,DBSCAN_0_AGG_17
5899,SubstanceUse,Use of heroin to get over or avoid withdrawal symptoms in the past 12 months.,"[-0.05152125  0.01472578 -0.01722438 ... -0.01237148 -0.09149882
  0.04012946]","[-0.03718961 -0.01698901  0.02295338 ... -0.02706907 -0.03009174
  0.01005307]","[-0.05152125  0.01472578 -0.01722438 ... -0.02706907 -0.03009174
  0.01005307]",0,31,DBSCAN_0_AGG_31
5900,Heroin,Specific type of substance abused.,"[-0.03272062 -0.02716089 -0.02958721 ... -0.00656492 -0.04384009
 -0.00527897]","[-0.03813736  0.01866904 -0.03456911 ... -0.01231757 -0.07753073
  0.05640675]","[-0.03272062 -0.02716089 -0.02958721 ... -0.01231757 -0.07753073
  0.05640675]",0,12,DBSCAN_0_AGG_12
5901,Withdrawal,Symptoms experienced from not using heroin.,"[-0.00082844 -0.00037449  0.01112329 ... -0.00590044 -0.01618625
 -0.00272372]","[-0.03753638 -0.00603962  0.0088294  ... -0.00936452 -0.04518461
 -0.02311437]","[-0.00082844 -0.00037449  0.01112329 ... -0.00936452 -0.04518461
 -0.02311437]",0,25,DBSCAN_0_AGG_25
5902,SubstanceUse,Use of an unspecified substance to manage or avoid withdrawal symptoms in the past 12 months.,"[-0.05152125  0.01472578 -0.01722438 ... -0.01237148 -0.09149882
  0.04012946]","[-0.01664774  0.00205141 -0.00205663 ... -0.04241905 -0.05323938
  0.036689  ]","[-0.05152125  0.01472578 -0.01722438 ... -0.04241905 -0.05323938
  0.036689  ]",0,31,DBSCAN_0_AGG_31
5903,WithdrawalSymptoms,Physical or psychological symptoms experienced when ceasing or reducing intake of a substance.,"[-0.01963642 -0.02639157  0.00722692 ...  0.01844675 -0.0391361
 -0.0146316 ]","[ 0.01045757  0.02494228  0.00206819 ... -0.00372599 -0.04360174
  0.01196332]","[-0.01963642 -0.02639157  0.00722692 ... -0.00372599 -0.04360174
  0.01196332]",0,25,DBSCAN_0_AGG_25
5904,TimeFrame,"The specific period over which the action or condition was assessed, in this instance, the past 12 months.","[-0.03793724  0.02092917  0.00502625 ... -0.02201559 -0.00470469
  0.01925583]","[-0.0041258   0.00599781  0.02174082 ... -0.01364327  0.04645543
  0.0288538 ]","[-0.03793724  0.02092917  0.00502625 ... -0.01364327  0.04645543
  0.0288538 ]",0,23,DBSCAN_0_AGG_23
5905,PrescriptionTranquilizers,Prescription tranquilizers used by the respondent.,"[ 0.01243161  0.04761482 -0.06036189 ...  0.00454195  0.01242518
 -0.00503445]","[-0.00661324  0.03629858 -0.0137994  ... -0.01344575  0.01977608
 -0.01764003]","[ 0.01243161  0.04761482 -0.06036189 ... -0.01344575  0.01977608
 -0.01764003]",0,38,DBSCAN_0_AGG_38
5906,TimeSpentUsing,Indicates the time spent using prescription tranquilizers.,"[-0.03849804  0.00937433  0.04317785 ... -0.02746076  0.01158915
  0.0098379 ]","[-0.00630311  0.01969901 -0.00350691 ... -0.02929007  0.01892368
  0.00592262]","[-0.03849804  0.00937433  0.04317785 ... -0.02929007  0.01892368
  0.00592262]",0,8,DBSCAN_0_AGG_8
5907,EffectOfTranquilizers,The effects felt by the respondent from using prescription tranquilizers.,"[ 0.00699135  0.01227148 -0.01930943 ... -0.00531009  0.00212071
  0.00512699]","[-0.01235655  0.01083362 -0.01237732 ... -0.015797    0.00847306
  0.00421923]","[ 0.00699135  0.01227148 -0.01930943 ... -0.015797    0.00847306
  0.00421923]",0,38,DBSCAN_0_AGG_38
5908,TimeSpentRecovering,Indicates the time spent by the respondent recovering from the effects of prescription tranquilizers.,"[-0.00893461  0.00725294  0.0446968  ... -0.02268078 -0.00157483
  0.02366208]","[-0.00250032  0.01520423  0.00637364 ... -0.03266308  0.02059508
  0.03173811]","[-0.00893461  0.00725294  0.0446968  ... -0.03266308  0.02059508
  0.03173811]",0,8,DBSCAN_0_AGG_8
5909,SurveyPeriod,The period of the past 12 months as referred to in the survey.,"[-0.00938463 -0.01076198  0.02659757 ... -0.02189748  0.00229752
 -0.01668379]","[ 0.01388799  0.02348704  0.06317673 ... -0.01970188  0.0461299
 -0.00302608]","[-0.00938463 -0.01076198  0.02659757 ... -0.01970188  0.0461299
 -0.00302608]",0,23,DBSCAN_0_AGG_23
5910,Respondent,The individual answering the survey question.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.01251798 -0.02686394  0.01432402 ... -0.02649835  0.00387897
  0.03904558]","[-0.00286051  0.01264529 -0.00938681 ... -0.02649835  0.00387897
  0.03904558]",0,17,DBSCAN_0_AGG_17
5911,TimeSpentGettingTranquilizers,Amount of time spent getting or trying to get prescription tranquilizers in the past 12 months.,"[-0.02278829  0.04386165 -0.01058028 ... -0.0264507   0.01825389
  0.00608947]","[-0.01771456  0.02664948  0.01813802 ... -0.03997422  0.00531084
  0.0281598 ]","[-0.02278829  0.04386165 -0.01058028 ... -0.03997422  0.00531084
  0.0281598 ]",0,38,DBSCAN_0_AGG_38
5912,PrescriptionTranquilizers,Type of substance referenced in the survey question.,"[ 0.01241447  0.0475974  -0.06032095 ...  0.00453953  0.01243379
 -0.00508362]","[-0.01720364  0.03168482 -0.05801161 ... -0.02272097 -0.0166244
  0.0347838 ]","[ 0.01241447  0.0475974  -0.06032095 ... -0.02272097 -0.0166244
  0.0347838 ]",0,38,DBSCAN_0_AGG_38
5913,Past12Months,The time period referenced in the survey question.,"[-0.01330907 -0.00011016  0.0654183  ...  0.02108669  0.02113465
  0.01659438]","[ 0.00090378  0.00658789  0.02247753 ... -0.01892632  0.02902843
 -0.0104653 ]","[-0.01330907 -0.00011016  0.0654183  ... -0.01892632  0.02902843
 -0.0104653 ]",0,23,DBSCAN_0_AGG_23
5914,Respondent,The individual answering the survey question.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.01251798 -0.02686394  0.01432402 ... -0.02649835  0.00387897
  0.03904558]","[-0.00286051  0.01264529 -0.00938681 ... -0.02649835  0.00387897
  0.03904558]",0,17,DBSCAN_0_AGG_17
5915,PrescriptionTranquilizersUse,Use of any prescription tranquilizers in larger amounts or for a longer time than intended during the past 12 months.,"[ 0.00426181  0.03648753 -0.03095522 ...  0.00023963  0.00363138
 -0.00805402]","[ 0.00486392  0.00665137  0.00947348 ... -0.02360807  0.00460268
  0.0380864 ]","[ 0.00426181  0.03648753 -0.03095522 ... -0.02360807  0.00460268
  0.0380864 ]",0,38,DBSCAN_0_AGG_38
5916,TimePeriod,The past 12 months.,"[-0.06603158 -0.01852301  0.06213481 ... -0.00373663  0.00114601
  0.01960396]","[ 0.0014438   0.01662227  0.0182588  ... -0.00808121  0.02035518
 -0.01313281]","[-0.06603158 -0.01852301  0.06213481 ... -0.00808121  0.02035518
 -0.01313281]",0,23,DBSCAN_0_AGG_23
5917,Respondent,An individual aged 12 or older in the United States providing the survey data.,"[-0.00286051  0.01264529 -0.00938681 ... -0.01554503  0.02669561
  0.01563472]","[ 0.05805447  0.00375446  0.04788813 ... -0.01951502  0.00344273
  0.02176361]","[-0.00286051  0.01264529 -0.00938681 ... -0.01951502  0.00344273
  0.02176361]",0,17,DBSCAN_0_AGG_17
5918,PrescriptionTranquilizers,Prescription tranquilizers refer to medications prescribed to reduce tension or anxiety.,"[ 0.01241447  0.0475974  -0.06032095 ...  0.00453953  0.01243379
 -0.00508362]","[-0.03205895  0.00545498 -0.02349201 ...  0.01271624  0.01974526
 -0.00676066]","[ 0.01241447  0.0475974  -0.06032095 ...  0.01271624  0.01974526
 -0.00676066]",0,38,DBSCAN_0_AGG_38
5919,StrongDesireToUse,A strong desire to use any prescription tranquilizers such that it occupies one's thoughts completely.,"[ 0.0072304   0.01945399 -0.01570099 ...  0.00979184 -0.04727319
 -0.01289637]","[ 0.01133461 -0.01310292 -0.0206545  ... -0.00483388 -0.00140777
  0.00840674]","[ 0.0072304   0.01945399 -0.01570099 ... -0.00483388 -0.00140777
  0.00840674]",0,1,DBSCAN_0_AGG_1
5920,Past12Months,The time period of the past 12 months.,"[-0.01330907 -0.00011016  0.0654183  ...  0.02108669  0.02113465
  0.01659438]","[-0.00148368  0.00238837  0.03589787 ... -0.0184095   0.03597682
  0.00786911]","[-0.01330907 -0.00011016  0.0654183  ... -0.0184095   0.03597682
  0.00786911]",0,23,DBSCAN_0_AGG_23
5921,StrongUrgeToUseTranquilizers,Respondent's experience of having a strong urge to use any prescription tranquilizers in the past 12 months.,"[ 0.01751867  0.00863672 -0.04720693 ... -0.00502723 -0.02895256
 -0.00230287]","[-0.02983337  0.02422822 -0.01219006 ... -0.02433455 -0.00823304
 -0.00066694]","[ 0.01751867  0.00863672 -0.04720693 ... -0.02433455 -0.00823304
 -0.00066694]",0,1,DBSCAN_0_AGG_1
5922,PrescriptionTranquilizers,The type of substance referred to in the question.,"[ 0.01241447  0.0475974  -0.06032095 ...  0.00453953  0.01243379
 -0.00508362]","[-0.0225957   0.01251434 -0.06876836 ... -0.01349559 -0.01633181
  0.05368663]","[ 0.01241447  0.0475974  -0.06032095 ... -0.01349559 -0.01633181
  0.05368663]",0,38,DBSCAN_0_AGG_38
5923,Past12Months,The time period during which the respondent experienced the urge to use tranquilizers.,"[-0.01330907 -0.00011016  0.0654183  ...  0.02108669  0.02113465
  0.01659438]","[-0.01134646  0.00481916 -0.01220417 ... -0.00452114  0.00298199
 -0.01551143]","[-0.01330907 -0.00011016  0.0654183  ... -0.00452114  0.00298199
 -0.01551143]",0,23,DBSCAN_0_AGG_23
5924,PrescriptionTranquilizers,Prescription tranquilizers are the substance being referenced.,"[ 0.01241447  0.0475974  -0.06032095 ...  0.00453953  0.01243379
 -0.00508362]","[-0.02074623  0.02957183 -0.056819   ...  0.00258145  0.01108944
  0.00830525]","[ 0.01241447  0.0475974  -0.06032095 ...  0.00258145  0.01108944
  0.00830525]",0,38,DBSCAN_0_AGG_38
5925,IncreasedUsage,A significant amount more of usage is needed to achieve the desired feeling.,"[-0.00413667  0.02555441  0.05090506 ... -0.0172938  -0.0136177
  0.01438178]","[ 0.02291025  0.00432926 -0.01497397 ... -0.02183528 -0.01815688
  0.03732154]","[-0.00413667  0.02555441  0.05090506 ... -0.02183528 -0.01815688
  0.03732154]",0,8,DBSCAN_0_AGG_8
