relationship,source_entity,target_entity,question_code,description
spendsTime,PrescriptionStimulantsUse,TimeSpent,UDSTTIMEUSE,Relates the use of prescription stimulants to the time spent using them in the past 12 months.
includesExperience,PrescriptionStimulantsUse,EffectsExperience,UDSTTIMEUSE,Indicates that the use of prescription stimulants includes experiencing their effects or recovering from them.
withinTimeFrame,PrescriptionStimulantsUse,Past12Months,UDSTTIMEUSE,Defines the time frame in which the prescription stimulants were used.
spendsTimeOn,Respondent,PrescriptionStimulants,UDSTTIMEGET,Indicates that the respondent spends time getting or trying to get prescription stimulants.
duringPeriod,TimeSpent,Past12Months,UDSTTIMEGET,Specifies that the time spent refers to the past 12 months.
triesToGet,Respondent,PrescriptionStimulants,UDSTTIMEGET,Indicates that the respondent has attempted to get prescription stimulants.
hasTimeFrame,PrescriptionStimulantUse,SurveyPeriod,UDSTLRGAMTS,Links prescription stimulant use to the past 12-month time frame.
hasFrequency,PrescriptionStimulantUse,FrequencyOfUse,UDSTLRGAMTS,Relates the use pattern to the frequency of usage of prescription stimulants in larger amounts or for longer durations.
hasDesireForSubstanceUse,Respondent,DesireForSubstanceUse,UDSTWANTBAD,Indicates that the respondent has a strong desire to use prescription stimulants.
relatedTo,DesireForSubstanceUse,PrescriptionStimulants,UDSTWANTBAD,Relates the strong desire with the use of prescription stimulants.
withinTimePeriod,DesireForSubstanceUse,TimePeriod,UDSTWANTBAD,Indicates that the desire to use prescription stimulants occurred within the past 12 months.
experiencedDuring,StrongUrgeToUseStimulants,Past12Months,UDSTSTRURGE,Relates the strong urge to use prescription stimulants to the past 12 months period.
relatedTo,StrongUrgeToUseStimulants,PrescriptionStimulants,UDSTSTRURGE,Relates the strong urge to use to prescription stimulants.
reportsStimulantUse,Respondent,StimulantUse,UDSTNEEDMOR,The respondent reports using prescription stimulants.
exhibitsTolerance,Respondent,IncreasedTolerance,UDSTNEEDMOR,"The respondent requires more stimulants to achieve the desired effect, indicating increased tolerance."
usedToHaveEffect,PrescriptionStimulants,Effect,UDSTLESSEFF,Prescription stimulants used to have a certain effect on the respondent.
hasLessEffectNow,PrescriptionStimulants,Effect,UDSTLESSEFF,Prescription stimulants now have much less effect on the respondent.
reportedBy,Effect,Respondent,UDSTLESSEFF,The effect (or lack thereof) is reported by the respondent.
hasTimeframe,Attempt to Cut Down/Stop Use,Past 12 Months,UDSTTRYSTOP,Links the attempt to cut down or stop stimulant use to the past 12 months.
concerns,Past 12 Months,Prescription Stimulants,UDSTTRYSTOP,Relates the timeframe of the past 12 months to the use of prescription stimulants.
relatesTo,Attempt to Cut Down/Stop Use,Prescription Stimulants,UDSTTRYSTOP,Indicates the relationship between efforts to cut down or stop usage and the use of prescription stimulants.
relatedTo,AttemptToStopUse,InabilityToStopUse,UDSTNOTSTOP,The respondent's attempts to cut down or stop using prescription stimulants were related to their inability to succeed.
occurredWithin,InabilityToStopUse,Past12Months,UDSTNOTSTOP,The inability to cut down or stop using prescription stimulants occurred within the past 12 months.
occurredWithin,AttemptToStopUse,Past12Months,UDSTNOTSTOP,The attempts to cut down or stop using prescription stimulants occurred within the past 12 months.
involves,AttemptToStopUse,PrescriptionStimulants,UDSTNOTSTOP,The attempts were specifically directed towards cutting down or stopping the use of prescription stimulants.
involves,InabilityToStopUse,PrescriptionStimulants,UDSTNOTSTOP,The inability was specifically associated with stopping the use of prescription stimulants.
hasDesire,StimulantUse,WishToCutDown,UDSTWSHSTOP,Indicates the respondent's wish to cut down or stop using prescription stimulants.
occursWithin,StimulantUse,TimePeriod,UDSTWSHSTOP,Relates the respondent's stimulant use to the past 12 months period.
causedOrWorsenedBy,PhysicalHealthProblem,PrescriptionStimulantUse,UDSTHLTHPRB,Physical health problems that were caused or worsened by prescription stimulant use.
hasSurveyPeriod,PhysicalHealthProblem,TimePeriod,UDSTHLTHPRB,The time period during which the physical health problem occurred or worsened.
causes,PrescriptionStimulants,PhysicalHealthProblems,UDSTHLTHCTD,Prescription stimulants causing or worsening long-lasting or repeated physical health problems.
associatedWith,ContinuedUse,PrescriptionStimulants,UDSTHLTHCTD,Continued use of prescription stimulants despite known physical health problems.
causedOrWorsenedBy,EmotionalProblem,PrescriptionStimulant,UDSTMNTLPRB,Specifies that the emotional problems were caused or worsened by the use of prescription stimulants.
causedOrWorsenedBy,MentalHealthProblem,PrescriptionStimulant,UDSTMNTLPRB,Specifies that the mental health problems were caused or worsened by the use of prescription stimulants.
occurredIn,EmotionalProblem,Past12Months,UDSTMNTLPRB,Indicates that the emotional problems occurred in the past 12 months.
occurredIn,MentalHealthProblem,Past12Months,UDSTMNTLPRB,Indicates that the mental health problems occurred in the past 12 months.
causesOrWorsens,PrescriptionStimulantUse,"['EmotionalProblems', 'MentalHealthProblems']",UDSTMNTLCTD,Prescription stimulant use causes or worsens emotional and mental health problems.
hasImpact,StimulantUse,Activities,UDSTSTOPACT,Relates the use of prescription stimulants to the impact on important activities.
hasTimeFrame,StimulantUse,TimeFrame,UDSTSTOPACT,Relates the use of prescription stimulants to the time period of the past 12 months.
causes,PresciptionStimulantsUsage,SeriousProblem,UDSTWORKPRB,Usage of prescription stimulants can cause serious problems.
affects,SeriousProblem,ImpactArea,UDSTWORKPRB,"Serious problems affect specific areas such as work, school, or home."
hasIssueType,ImpactArea,WorkRelatedIssue,UDSTWORKPRB,Work-related issues due to serious problems caused by prescription stimulant usage.
hasIssueType,ImpactArea,SchoolRelatedIssue,UDSTWORKPRB,School-related issues due to serious problems caused by prescription stimulant usage.
hasIssueType,ImpactArea,HomeRelatedIssue,UDSTWORKPRB,Home-related issues due to serious problems caused by prescription stimulant usage.
withinPeriod,SeriousProblem,TimePeriod,UDSTWORKPRB,The serious problems occurred within the past 12 months.
causedOrMadeWorseBy,Prescription_Stimulant_Use,Family_Arguments,UDSTFMLYPRB,Family arguments or problems caused or made worse by the respondent's use of prescription stimulants.
causedOrMadeWorseBy,Prescription_Stimulant_Use,Friend_Problems,UDSTFMLYPRB,Problems with friends caused or made worse by the respondent's use of prescription stimulants.
hasTimePeriod,Family_Arguments,Time_Period,UDSTFMLYPRB,Family arguments or problems occurred within the past 12 months.
hasTimePeriod,Friend_Problems,Time_Period,UDSTFMLYPRB,Problems with friends occurred within the past 12 months.
causes,Prescription_Stimulants,Arguments_Problems,UDSTFMLYCTD,Indicates that prescription stimulants cause arguments or problems.
involves,Arguments_Problems,Family_Friends,UDSTFMLYCTD,Arguments or problems involve family or friends.
despite,Continued_Usage,Arguments_Problems,UDSTFMLYCTD,Continued usage of prescription stimulants despite arguments or problems.
increasedPhysicalHarmRisk,SubstanceUse,PhysicalHarm,UDSTGETHURT,Using a prescription stimulant increased chances of getting physically hurt.
withinTimePeriod,SubstanceUse,TimePeriod,UDSTGETHURT,Stimulant use occurred within the past 12 months.
experiencedDuring,WithdrawalSymptom,Timeframe,UDSTWDTIRED,Relates the withdrawal symptom of feeling tired or exhausted to the past 12 months
resultOf,WithdrawalSymptom,SubstanceUse,UDSTWDTIRED,Relates the withdrawal symptom of feeling tired or exhausted to the use of prescription stimulants
hasSymptom,SubstanceWithdrawal,WithdrawalSymptom,UDSTWDDREAM,Relates substance withdrawal to experiencing bad dreams
assessesMentalHealth,Survey,MentalHealth,UDSTWDDREAM,Survey assessing the impact of withdrawal symptoms on mental health
withinTimePeriod,WithdrawalSymptom,TimePeriod,UDSTWDDREAM,Relates the symptom occurrence to the past 12 months
isCausedBy,SleepDisturbance,WithdrawalSymptom,UDSTWDSLEEP,Sleep disturbance is caused by withdrawal symptoms.
occursDuring,SleepDisturbance,TimePeriod,UDSTWDSLEEP,Sleep disturbance occurs during the past 12 months.
isPartOf,SleepDisturbance,UserExperience,UDSTWDSLEEP,Sleep disturbance is a part of the user's experience with substance use.
experiencesSymptom,Respondent,WithdrawalSymptom,UDSTWDHNGRY,Indicates that the respondent is experiencing the listed withdrawal symptom.
associatedWith,WithdrawalSymptom,SubstanceAbuse,UDSTWDHNGRY,Indicates that the withdrawal symptom is associated with substance abuse.
observedDuring,WithdrawalSymptom,TimePeriod,UDSTWDHNGRY,Indicates the time period during which the withdrawal symptom was observed.
hasSymptom,MentalHealth,Symptom,UDSTWDSITST,The mental health withdrawal symptom includes feeling either very slowed down or like you couldn’t sit still
occursDuring,Symptom,TimePeriod,UDSTWDSITST,The symptom occurs during the past 12 months
usedToAvoidWithdrawal,Respondent,Prescription_Stimulants,UDSTAVOIDWD,The respondent used prescription stimulants to get over or avoid withdrawal symptoms.
usedToAvoidWithdrawal,Respondent,Other_Drugs,UDSTAVOIDWD,The respondent used other drugs to get over or avoid withdrawal symptoms.
hasWithdrawalSymptoms,Respondent,Withdrawal_Symptoms,UDSTAVOIDWD,The respondent is experiencing withdrawal symptoms from discontinuation of prescription stimulants.
withinTimeFrame,Usage,Past_12_Months,UDSTAVOIDWD,The usage of prescription stimulants or other drugs occurred within the past 12 months.
participatedIn,Respondent,Survey,UDSTAVOIDWD,The respondent participated in the NSDUH survey.
hasUsage,PrescriptionStimulant,StimulantUsage,UDSTAVWSTIM,Relates the use of prescription stimulants to get over or avoid withdrawal symptoms.
hasWithdrawalSymptom,StimulantUsage,WithdrawalSymptom,UDSTAVWSTIM,Relates the usage of stimulants to the presence of withdrawal symptoms.
hasTimePeriod,StimulantUsage,TimePeriod,UDSTAVWSTIM,Relates the stimulant usage to the past 12 months.
usedToAvoidWithdrawal,Respondent,Cocaine or Crack,UDSTAVWCOCN,Indicates the respondent used cocaine or crack to avoid or get over substance withdrawal.
hasWithdrawalCondition,Respondent,Substance Withdrawal,UDSTAVWCOCN,Indicates the respondent experienced substance withdrawal.
hasSurveyPeriod,Survey,Past 12 Months,UDSTAVWCOCN,Specifies the time period of the past 12 months for the survey question.
hasSubstanceUse,Behavior,Substance,UDSTAVWMETH,Relates the behavior of using methamphetamine to the substance methamphetamine itself.
hasSurveyPeriod,Behavior,TimePeriod,UDSTAVWMETH,Relates the behavior of using methamphetamine to avoid withdrawal to the past 12 months period.
hasUsedSubstance,Respondent,Substance_Use,UDSTAVWOTHR,Respondent has used some other substance to cope with stimulant withdrawal in the past 12 months.
hasWithdrawalSymptom,Respondent,Stimulant_Withdrawal,UDSTAVWOTHR,Respondent has experienced stimulant withdrawal symptoms.
occursDuring,Substance_Use,Time_Period,UDSTAVWOTHR,The use of another substance occurred during the past 12 months.
useOf,respondent,prescription sedatives,UDSVTIMEUSE,Relates the respondent to their use of prescription sedatives in the past 12 months.
timeSpentOn,respondent,time spent,UDSVTIMEUSE,"Relates the respondent to the time they spent using, feeling effects, or recovering from prescription sedatives."
feltEffectsFrom,respondent,effects,UDSVTIMEUSE,Relates the respondent to the effects they felt from using prescription sedatives.
duringPeriod,useOf,12 months,UDSVTIMEUSE,Specifies that the respondent's use of prescription sedatives happened during the past 12 months.
spendsTimeOn,Respondent,PrescriptionSedatives,UDSVTIMEGET,Relates the respondent to the activity of trying to get or getting prescription sedatives.
withinTimePeriod,Respondent,TimePeriod,UDSVTIMEGET,Indicates that the activity took place within the past 12 months.
usedInLargerAmountsThanIntended,Respondent,PrescriptionSedatives,UDSVLRGAMTS,Indicates whether the respondent used prescription sedatives in larger amounts than intended.
usedForLongerTimeThanIntended,Respondent,PrescriptionSedatives,UDSVLRGAMTS,Indicates whether the respondent used prescription sedatives for a longer duration than intended.
hasTimePeriod,SubstanceUse,Past12Months,UDSVLRGAMTS,Relates the substance use to the time period of the past 12 months.
experiencesCravingFor,Survey_Respondent,Prescription_Sedatives,UDSVWANTBAD,Indicates that the respondent experienced a craving.
withinTimePeriod,Craving,Time_Period,UDSVWANTBAD,Links the craving experience to the past 12 months.
reportedBy,Survey,Survey_Respondent,UDSVWANTBAD,Relates the survey to the respondent who provided the information.
experiencedUrge,Respondent,SubstanceUsageUrge,UDSVSTRURGE,The respondent experienced a strong urge to use prescription sedatives.
pertainsTo,SubstanceUsageUrge,PrescriptionSedatives,UDSVSTRURGE,The strong urge to use pertains to prescription sedatives.
withinTimePeriod,SubstanceUsageUrge,TimePeriod,UDSVSTRURGE,The strong urge to use prescription sedatives occurred within the past 12 months.
requiresMore,Prescription Sedatives,Increased Usage,UDSVNEEDMOR,Relates the use of prescription sedatives to the need to use more to get the desired feeling.
toAchieve,Increased Usage,Desired Feeling,UDSVNEEDMOR,Relates the increased usage of prescription sedatives to the achievement of the desired feeling.
reportsEffectivenessDecline,Individual,Effectiveness,UDSVLESSEFF,Represents that the individual notices a decline in the effectiveness of the sedative when using the same amount as before.
attemptedBehavior,Respondent,Behavior,UDSVTRYSTOP,Indicates that the respondent has tried to change their behavior related to sedative use.
behaviorPeriod,Behavior,TimePeriod,UDSVTRYSTOP,Connects the behavior of trying to cut down or stop sedative use to the past 12 months.
involvesSubstance,Behavior,PrescriptionSedatives,UDSVTRYSTOP,The behavior is specifically linked to the use of prescription sedatives.
hasDifficultyCuttingDown,Prescription Sedatives,Inability to Cut Down/Stop,UDSVNOTSTOP,Describes the relationship where the use of prescription sedatives is associated with an individual's difficulty in cutting down or stopping their use.
occursWithin,Inability to Cut Down/Stop,Time Period,UDSVNOTSTOP,Relates the inability to cut down or stop using prescription sedatives to the time period of the past 12 months.
involves,Substance Use Behavior,Prescription Sedatives,UDSVNOTSTOP,Connects the behavior of using substances to prescription sedatives.
hasOccurence,Substance Use Behavior,Inability to Cut Down/Stop,UDSVNOTSTOP,Links the occurrence of substance use behavior to the difficulty in cutting down or stopping.
hasWishedTo,Respondent,WishToCutDownOrStop,UDSVWSHSTOP,Respondent often wished to cut down or stop using sedatives.
inTimePeriod,WishToCutDownOrStop,TimePeriod,UDSVWSHSTOP,The desire to cut down or stop using sedatives occurred within the past 12 months.
relatedTo,WishToCutDownOrStop,SedativeUse,UDSVWSHSTOP,Desire to cease or reduce the use of prescription sedatives.
causedOrWorsenedBy,Long-lasting Physical Health Problem,Prescription Sedative Use,UDSVHLTHPRB,Relates long-lasting or repeated physical health problems to being caused or worsened by the use of prescription sedative.
timeFrame,Long-lasting Physical Health Problem,Past 12 Months,UDSVHLTHPRB,Specifies that the long-lasting physical health problem occurred in the past 12 months.
hasUsageContinuedDespiteProblems,Respondent,Prescription Sedatives Usage,UDSVHLTHCTD,Indicates that the respondent continued the use of prescription sedatives despite experiencing physical health problems.
causesWorseningOf,Prescription Sedatives Usage,Physical Health Problems,UDSVHLTHCTD,Indicates that the use of prescription sedatives caused or worsened long-lasting or repeated physical health problems.
worsenedBy,EmotionalProblems,PrescriptionSedativeUse,UDSVMNTLPRB,Emotional problems that were made worse by using prescription sedatives.
worsenedBy,MentalHealthProblems,PrescriptionSedativeUse,UDSVMNTLPRB,Mental health problems that were made worse by using prescription sedatives.
timePeriod,PrescriptionSedativeUse,Past12Months,UDSVMNTLPRB,"The time period in which prescription sedatives were used, causing or worsening emotional or mental health problems."
continuedUsage,Prescription Sedatives,Mental Health Problems,UDSVMNTLCTD,The act of continuing to use prescription sedatives despite experiencing long-lasting or repeated problems with mental health.
continuedUsage,Prescription Sedatives,Emotional Problems,UDSVMNTLCTD,The act of continuing to use prescription sedatives despite experiencing long-lasting or repeated problems with emotions.
worsenedCondition,Prescription Sedatives,Mental Health Problems,UDSVMNTLCTD,Prescription sedatives contributing to the worsening of existing mental health problems.
worsenedCondition,Prescription Sedatives,Emotional Problems,UDSVMNTLCTD,Prescription sedatives contributing to the worsening of existing emotional problems.
affects,Substance Use,Activity,UDSVSTOPACT,Substance use affects the time spent on important activities.
occurs_in,Negative_Impact,Time_Period,UDSVSTOPACT,The negative impact occurred within the past 12 months.
results_from,Negative_Impact,Substance Use,UDSVSTOPACT,The negative impact of giving up or spending less time on activities results from the use of prescription sedatives.
hasCause,SedativeUseProblem,PrescriptionSedatives,UDSVWORKPRB,"The cause of serious problems at work, school, or home is the use of prescription sedatives."
hasEffect,PrescriptionSedatives,WorkProblem,UDSVWORKPRB,"Prescription sedatives leading to missing work, getting demoted, having hours cut, or losing a job."
hasEffect,PrescriptionSedatives,SchoolProblem,UDSVWORKPRB,"Prescription sedatives causing issues like suspension, expulsion, or dropping out of school."
hasEffect,PrescriptionSedatives,HomeProblem,UDSVWORKPRB,Prescription sedatives leading to failing to take care of family responsibilities.
hasSurveyPeriod,SedativeUseProblem,SurveyPeriod,UDSVWORKPRB,The period during which the respondent experienced serious problems due to sedative use is the past 12 months.
causedOrWorsenedBy,ArgumentOrProblem,PrescriptionSedativeUse,UDSVFMLYPRB,Arguments or problems caused or worsened by the use of a prescription sedative.
experiencedWith,ArgumentOrProblem,FamilyOrFriends,UDSVFMLYPRB,Arguments or problems experienced with family members or friends.
occurredDuring,ArgumentOrProblem,TimePeriod,UDSVFMLYPRB,Arguments or problems occurred during the past 12 months.
caused_by,Arguments_Problems_Family_Friends,Prescription_Sedatives,UDSVFMLYCTD,Arguments or problems with family or friends were caused by the use of prescription sedatives.
despite,Continued_Use,Arguments_Problems_Family_Friends,UDSVFMLYCTD,The respondent continued using prescription sedatives despite causing arguments or problems with family or friends.
used_by,Prescription_Sedatives,Respondent,UDSVFMLYCTD,The prescription sedatives are used by the respondent.
hasTimePeriod,Prescription_Sedative_Use,Time_Period,UDSVGETHURT,The period during which the prescription sedative use is being considered
increasesRiskOf,Prescription_Sedative_Use,Physical_Hurt_Risk,UDSVGETHURT,Using prescription sedative increases the risk of getting physically hurt
hasSymptom,PrescriptionSedatives,WithdrawalSymptom,UDSVWDSWEAT,Identifies the symptom (sweating or fast heartbeat) as a withdrawal effect from prescription sedatives.
experiencedDuring,WithdrawalSymptom,SurveyPeriod,UDSVWDSWEAT,Links withdrawal symptoms to the period of experiencing these symptoms in the past 12 months.
hasSymptom,SedativeWithdrawal,WithdrawalSymptom,UDSVWDTRMBL,Identifies hand tremors as a symptom of sedative withdrawal.
experiencedIn,WithdrawalSymptom,TimePeriod,UDSVWDTRMBL,Relates the withdrawal symptom to the time period in which it was experienced.
symptomType,WithdrawalSymptom,TremblingHands,UDSVWDTRMBL,Specifies the type of withdrawal symptom experienced.
isWithdrawalSymptomOf,Symptom,Substance,UDSVWDSLEEP,Having trouble sleeping as a withdrawal symptom from sedatives.
hasTimePeriod,Symptom,Time Period,UDSVWDSLEEP,The time period during which the symptom was experienced is the past 12 months.
hasWithdrawalSymptom,SedativeWithdrawal,SedativeWithdrawalSymptom,UDSVWDVOMIT,Assigns vomiting or having an upset stomach as a symptom of sedative withdrawal.
hasSurveyPeriod,Survey,TimePeriod,UDSVWDVOMIT,Relates the survey to the specified time period of the past 12 months.
isRelatedTo,Substance Use Withdrawal Symptom,Psychoactive Substance,UDSVWDHALUC,Withdrawal symptoms associated with the use of sedatives.
hasTimePeriod,Substance Use Withdrawal Symptom,Time Period,UDSVWDHALUC,The withdrawal symptoms were experienced in the past 12 months.
experiencesWithdrawalSymptom,Respondent,WithdrawalSymptom,UDSVWDSITST,Indicates that the respondent experienced the symptom of feeling like they couldn't sit still
relatedToSubstance,WithdrawalSymptom,Substance,UDSVWDSITST,Indicates that the withdrawal symptom is related to sedative use
withinTimePeriod,WithdrawalSymptom,TimePeriod,UDSVWDSITST,Specifies the symptom was experienced in the past 12 months
isSymptomOf,AnxietySymptom,WithdrawalSymptom,UDSVWDFLANX,Feeling anxious is a sedative withdrawal symptom experienced.
hasTimeFrame,WithdrawalSymptom,TimePeriod,UDSVWDFLANX,The sedative withdrawal symptom of feeling anxious occurred within the past 12 months.
associatedWith,PrescriptionSedatives_UsageAvoidWithdrawal,WithdrawalSymptoms,UDSVAVOIDWD,Use of prescription sedatives is associated with the avoidance of withdrawal symptoms.
hasTimePeriod,PrescriptionSedatives_UsageAvoidWithdrawal,TimePeriod_12Months,UDSVAVOIDWD,This behavior was observed in the past 12 months.
usedToAvoidWithdrawal,PrescriptionSedatives,AvoidWithdrawal,UDSVAVWSVTR,Specifies that prescription sedatives were used to avoid withdrawal symptoms.
usedToAvoidWithdrawal,PrescriptionTranquilizers,AvoidWithdrawal,UDSVAVWSVTR,Specifies that prescription tranquilizers were used to avoid withdrawal symptoms.
usedToAvoidWithdrawal,PrescriptionSleepingPills,AvoidWithdrawal,UDSVAVWSVTR,Specifies that prescription sleeping pills were used to avoid withdrawal symptoms.
withinPeriod,AvoidWithdrawal,Past12Months,UDSVAVWSVTR,Indicates that the action of avoiding withdrawal occurred within the past 12 months.
relatedTo,WithdrawalSymptoms,PrescriptionSedatives,UDSVAVWSVTR,Indicates that withdrawal symptoms are related to the use of prescription sedatives.
relatedTo,WithdrawalSymptoms,PrescriptionTranquilizers,UDSVAVWSVTR,Indicates that withdrawal symptoms are related to the use of prescription tranquilizers.
relatedTo,WithdrawalSymptoms,PrescriptionSleepingPills,UDSVAVWSVTR,Indicates that withdrawal symptoms are related to the use of prescription sleeping pills.
usedToAvoidWithdrawal,SubstanceUseBehavior,Withdrawal,UDSVAVWALCO,Describes the behavior of using alcohol to avoid symptoms of withdrawal.
hasSubstanceType,SubstanceUseBehavior,Alcohol,UDSVAVWALCO,Specifies the type of substance involved in the behavior.
hasTimePeriod,SubstanceUseBehavior,TimePeriod,UDSVAVWALCO,Specifies the time period during which the behavior occurred.
hasSurveyPeriod,Substance Use,Time Period,UDSVAVWOTHR,Relates substance use to the time period of the past 12 months.
hasSymptom,Substance Use,Withdrawal Symptoms,UDSVAVWOTHR,Relates the substance use to withdrawal symptoms experienced.
hasSubstanceUseDisorderCriteria,AlcoholUseDisorder,SubstanceUseDisorderCriteria,PYUD5ALC,Relationship indicating the criteria for diagnosing alcohol use disorder.
usesSubstance,Respondent,Substance,PYUD5ALC,"Indicates that the respondent uses a substance, including alcohol."
hasAlcoholUse,Respondent,AlcoholUse,PYUD5ALC,Since the respondent has reported alcohol use in the past year.
mayHaveMissingValues,AlcoholUseDisorder,MissingValues,PYUD5ALC,Indicates the presence of missing responses in alcohol use disorder variables.
hasImputedValues,MissingValues,ImputedValues,PYUD5ALC,Missing values that have been replaced with valid response categories.
hasRespondent,MarijuanaUseDisorder,Respondent,PYUD5MRJ,Associates marijuana use disorder with the respondent.
isMeasuredBy,MarijuanaUseDisorder,Survey,PYUD5MRJ,Links the marijuana use disorder to the survey measuring it.
hasSymptom,MarijuanaUseDisorder,MarijuanaRelatedSymptoms,PYUD5MRJ,Associates marijuana use disorder with the related symptoms.
classifiedAs,Respondent,SubstanceUseDisorder,PYUD5MRJ,Classifies the respondent as having a substance use disorder.
experiencedBy,MarijuanaRelatedSymptoms,Respondent,PYUD5MRJ,Links the marijuana-related symptoms to the respondent who experienced them.
indicatesUseOf,PastYearMarijuanaUse,Marijuana,PYUD5MRJ,Shows that the respondent had used marijuana in the past year.
reports,SurveyRespondent,CocaineUseDisorder,PYUD5COC,Indicates that the survey respondent has reported experiencing cocaine use disorder in the past year.
hasPastYearUse,SurveyRespondent,PastYearCocaineUse,PYUD5COC,Indicates that the survey respondent has used cocaine within the past year.
reportsLifetimeUse,SurveyRespondent,LifetimeCocaineUse,PYUD5COC,Indicates that the survey respondent has used cocaine at least once in their lifetime.
hasSubstanceUseDisorder,SurveyRespondent,SubstanceUseDisorder,PYUD5COC,"Denotes that the survey respondent has a substance use disorder, including but not limited to cocaine use disorder."
experiences,SurveyRespondent,MentalHealthIssues,PYUD5COC,Indicates that the survey respondent also experiences mental health issues.
isAssociatedWith,CocaineUseDisorder,MentalHealthIssues,PYUD5COC,Points to the potential association between cocaine use disorder and mental health issues.
isPartOf,CocaineUseDisorder,SubstanceAbuse,PYUD5COC,Indicates that cocaine use disorder is a part of the broader category of substance abuse.
relatedTo,HeroinUseDisorder,PastYearHeroinUser,PYUD5HER,Respondent's heroin use disorder is evaluated based on their heroin use in the past year.
determinedBy,PastYearHeroinUser,HRNDLREC,PYUD5HER,Past year heroin use is determined by needle use recall.
determinedBy,PastYearHeroinUser,HRSMKREC,PYUD5HER,Past year heroin use is determined by smoking recall.
determinedBy,PastYearHeroinUser,HRSNFREC,PYUD5HER,Past year heroin use is determined by snorting recall.
leadsTo,HallucinogenUseDisorder,FamilyConflict,PYUD5HAL,Hallucinogen use disorder leads to family conflict.
causes,HallucinogenUseDisorder,InjuryOrHurt,PYUD5HAL,Hallucinogen use disorder causes instances of being injured or hurt.
leadsTo,HallucinogenUseDisorder,HealthProblems,PYUD5HAL,Hallucinogen use disorder leads to health problems.
resultsIn,HallucinogenUseDisorder,LessEffect,PYUD5HAL,Hallucinogen use disorder results in a reduced effect of the substance over time.
involves,HallucinogenUseDisorder,LargeAmounts,PYUD5HAL,Hallucinogen use disorder involves using large amounts of the substance.
contributesTo,HallucinogenUseDisorder,MentalHealthProblems,PYUD5HAL,Hallucinogen use disorder contributes to mental health problems.
creates,HallucinogenUseDisorder,NeedMore,PYUD5HAL,Hallucinogen use disorder creates a need for more of the substance to achieve the same effect.
includes,HallucinogenUseDisorder,StrongUrge,PYUD5HAL,Hallucinogen use disorder includes a strong urge to use the substance.
requires,HallucinogenUseDisorder,TimeSpentGetting,PYUD5HAL,Hallucinogen use disorder requires a substantial amount of time spent obtaining the substance.
involves,HallucinogenUseDisorder,TimeSpentUsing,PYUD5HAL,Hallucinogen use disorder involves significant time spent using the substance.
includes,HallucinogenUseDisorder,WantToQuit,PYUD5HAL,Hallucinogen use disorder includes a strong desire to stop using but being unable to do so.
belongsToCategory,PYUD5INH,INHALYR,PYUD5INH,The question on inhalant use disorder in the past year belongs to the INHALYR category.
impactsFamily,INHALYR,FamilyImpact,PYUD5INH,Inhalant use disorder impacts the family context.
causesPhysicalHarm,INHALYR,PhysicalHarm,PYUD5INH,Inhalant use disorder can cause physical harm.
affectsHealth,INHALYR,HealthImpact,PYUD5INH,Inhalant use disorder affects health.
decreasesEffectiveness,INHALYR,EffectivenessImpact,PYUD5INH,Inhalant use disorder decreases effectiveness.
involvesLargeAmountsOfUse,INHALYR,HighAmountUse,PYUD5INH,Inhalant use disorder involves using large amounts.
affectsMentalHealth,INHALYR,MentalHealthImpact,PYUD5INH,Inhalant use disorder affects mental health.
increasesNeed,INHALYR,IncreasedNeed,PYUD5INH,Inhalant use disorder results in an increased need for use.
causesFailedCessation,INHALYR,FailedCessation,PYUD5INH,Inhalant use disorder causes inability to stop use.
causesActivityStop,INHALYR,StopActivityIssue,PYUD5INH,Inhalant use disorder stops other activities.
involvesStrongUrge,INHALYR,StrongUrge,PYUD5INH,Inhalant use disorder involves a strong urge.
spendsTimeGetting,INHALYR,TimeSpent,PYUD5INH,Inhalant use disorder involves time spent getting the substance.
spendsTimeUsing,INHALYR,TimeSpentUsing,PYUD5INH,Inhalant use disorder involves time spent using the substance.
wantsToStop,INHALYR,DesireToBeBetter,PYUD5INH,People with inhalant use disorder often want to stop.
affectsWork,INHALYR,WorkImpact,PYUD5INH,Inhalant use disorder causes problems at work.
assessesDisorder,MethamphetamineUseDisorder,MethamphetamineUseDisorderVariables,PYUD5MTH,The assessment of methamphetamine use disorder relies on various variables.
relatesTo,MethamphetamineUseDisorder,LifetimeMethamphetamineUse,PYUD5MTH,Methamphetamine use disorder in the past year can be related to lifetime use of methamphetamine.
relatesTo,MethamphetamineUseDisorder,PastYearMethamphetamineUse,PYUD5MTH,Methamphetamine use disorder in the past year can be related to past year use of methamphetamine.
hasUseDisorder,Misuser of Prescription Pain Relievers,Pain Reliever Use Disorder,EDUD5PNRMIS,Establishes that the misuser has a pain reliever use disorder.
definedBy,Pain Reliever Use Disorder,DSM-5,EDUD5PNRMIS,The definition of pain reliever use disorder is based on DSM-5 criteria.
occursDuring,Misuse,Past-Year,EDUD5PNRMIS,The misuse of prescription pain relievers occurred within the past year.
involves,Pain Reliever Use Disorder,Prescription Pain Relievers,EDUD5PNRMIS,The disorder involves the misuse of prescription pain relievers.
isConditionOf,Substance Use Disorder (SUD),Pain Reliever Use Disorder,EDUD5PNRMIS,Pain reliever use disorder is a specific type of substance use disorder.
