id,relation_name,relation_description,relation_name_embedding,description_embedding,combined_embedding,dbscan_labels,agg_labels,final_cluster
4991,categorizedBy,Substance use disorder severity is categorized based on the number of positive SUD criteria.,"[-0.0236231   0.00476947  0.01282824 ...  0.00552452 -0.02457999
 -0.00290616]","[-0.04072285  0.0105355   0.01383086 ...  0.01298898 -0.05359156
  0.00816021]","[-0.0236231   0.00476947  0.01282824 ...  0.01298898 -0.05359156
  0.00816021]",0,25,DBSCAN_0_AGG_25
4992,involves,The severity measures involve specific substances such as alcohol or drugs.,"[-0.02129262  0.03105048  0.08872426 ... -0.00205359 -0.026804
  0.01895856]","[-0.00494609  0.03341305  0.02999322 ... -0.00227039 -0.03632624
  0.01646587]","[-0.02129262  0.03105048  0.08872426 ... -0.00227039 -0.03632624
  0.01646587]",0,11,DBSCAN_0_AGG_11
4993,reportedBy,The severity of alcohol use disorder in the past year is reported by the respondent.,"[-0.01336299  0.01241167  0.0286732  ... -0.00280006 -0.00969894
  0.00646596]","[-0.03758712  0.0192987   0.0202442  ... -0.01010915 -0.01937641
  0.0211638 ]","[-0.01336299  0.01241167  0.0286732  ... -0.01010915 -0.01937641
  0.0211638 ]",0,34,DBSCAN_0_AGG_34
4994,relatedTo,Current question about alcohol use disorder severity is related to the number of days alcohol was used in the past year.,"[-0.02368136 -0.00865122  0.02264102 ...  0.04982667  0.00767249
  0.0043085 ]","[-0.04110591 -0.00702916  0.00651763 ... -0.01394336 -0.0327376
  0.06496941]","[-0.02368136 -0.00865122  0.02264102 ... -0.01394336 -0.0327376
  0.06496941]",0,14,DBSCAN_0_AGG_14
4995,determinedBy,Severity of alcohol use disorder is determined by DSM-5 criteria.,"[-0.01904535  0.00450163  0.03535057 ...  0.00152909 -0.04850917
 -0.00580394]","[-0.03190459  0.02267836 -0.01437034 ...  0.02087516 -0.03743589
  0.01175956]","[-0.01904535  0.00450163  0.03535057 ...  0.02087516 -0.03743589
  0.01175956]",0,25,DBSCAN_0_AGG_25
4996,classifies,DSM-5 criteria classifies respondents' substance use disorder into levels of severity.,"[-0.04133871 -0.00964468  0.02456402 ...  0.02911803 -0.01359301
 -0.01523368]","[-0.04338813  0.02239656  0.02090822 ...  0.02767125 -0.0574857
  0.00915032]","[-0.04133871 -0.00964468  0.02456402 ...  0.02767125 -0.0574857
  0.00915032]",0,25,DBSCAN_0_AGG_25
4997,relatedTo,Severity of alcohol use disorder is a measure related to overall substance use disorder.,"[-0.02368136 -0.00865122  0.02264102 ...  0.04982667  0.00767249
  0.0043085 ]","[-0.01114377  0.00047123  0.01030959 ...  0.0209828  -0.04543066
  0.02163517]","[-0.02368136 -0.00865122  0.02264102 ...  0.0209828  -0.04543066
  0.02163517]",0,14,DBSCAN_0_AGG_14
4998,basedOn,Imputation-revised measures are based on the severity of alcohol use disorder.,"[-0.00508911 -0.01893551  0.06082221 ...  0.00466051 -0.04272073
 -0.02069623]","[-0.01182233  0.00343398  0.04888836 ...  0.01685534 -0.03706603
  0.00640923]","[-0.00508911 -0.01893551  0.06082221 ...  0.01685534 -0.03706603
  0.00640923]",0,25,DBSCAN_0_AGG_25
4999,uses,Severity levels are defined using DSM-5 criteria.,"[ 0.01775341 -0.00034598  0.05440667 ... -0.02897213 -0.03363977
 -0.00150061]","[-0.01993895  0.04716986  0.0438024  ...  0.01976172 -0.02681314
 -0.00398146]","[ 0.01775341 -0.00034598  0.05440667 ...  0.01976172 -0.02681314
 -0.00398146]",0,12,DBSCAN_0_AGG_12
5000,indicates,The number of days used indicates respondent's alcohol consumption in the past year.,"[-0.00405495  0.00510581  0.01268647 ...  0.01276262 -0.01809306
 -0.01623502]","[-0.03303339 -0.00647096  0.02990698 ... -0.03417248 -0.01860098
  0.05327028]","[-0.00405495  0.00510581  0.01268647 ... -0.03417248 -0.01860098
  0.05327028]",0,1,DBSCAN_0_AGG_1
5001,hasUseSeverityIndicator,Relates marijuana use to the severity of marijuana use disorder.,"[-0.01954463  0.03874773  0.02033635 ...  0.01030789 -0.05687968
  0.00339198]","[-0.03491061 -0.02651532  0.00136331 ... -0.00161874 -0.04719579
  0.04101627]","[-0.01954463  0.03874773  0.02033635 ... -0.00161874 -0.04719579
  0.04101627]",0,48,DBSCAN_0_AGG_48
5002,reportedBy,Indicates that marijuana use is reported by the respondent.,"[-0.01336299  0.01241167  0.0286732  ... -0.00280006 -0.00969894
  0.00646596]","[-0.00746113  0.00078595  0.00592279 ... -0.02866065 -0.02822014
  0.0294866 ]","[-0.01336299  0.01241167  0.0286732  ... -0.02866065 -0.02822014
  0.0294866 ]",0,34,DBSCAN_0_AGG_34
5003,hasTimeFrame,Specifies that marijuana use refers to the past year.,"[-0.02997655  0.01532615  0.02330008 ...  0.01473149 -0.0022925
 -0.00624737]","[-0.01115653 -0.01836408 -0.00416838 ... -0.04315494 -0.01178889
  0.0475169 ]","[-0.02997655  0.01532615  0.02330008 ... -0.04315494 -0.01178889
  0.0475169 ]",0,13,DBSCAN_0_AGG_13
5004,quantifiedBy,Indicates the number of days marijuana was used in the past year.,"[-0.00720407  0.01157811  0.00925603 ... -0.02788098  0.0127472
  0.01373086]","[-0.01830441 -0.01708324 -0.00220762 ... -0.05375772 -0.03172414
  0.06744007]","[-0.00720407  0.01157811  0.00925603 ... -0.05375772 -0.03172414
  0.06744007]",0,19,DBSCAN_0_AGG_19
5005,hasSurveyPeriod,Relates the question to the time period of the past year.,"[-0.01066773  0.01933253  0.05045037 ... -0.01004363  0.00912925
 -0.00502544]","[-0.01854971 -0.00986275  0.03097291 ... -0.03004465  0.02922469
  0.03979138]","[-0.01066773  0.01933253  0.05045037 ... -0.03004465  0.02922469
  0.03979138]",0,13,DBSCAN_0_AGG_13
5006,reports,Respondent reports using marijuana in the past year.,"[ 0.01841879  0.03728544  0.06310534 ... -0.01726551 -0.00583915
 -0.00873913]","[-0.02982305  0.00420747  0.00605441 ... -0.05921073 -0.00808841
  0.03148291]","[ 0.01841879  0.03728544  0.06310534 ... -0.05921073 -0.00808841
  0.03148291]",20,34,DBSCAN_20_AGG_34
5007,hasSeverity,Relates marijuana use to the severity of marijuana use disorder in the past year.,"[-0.04693794  0.01309672  0.0224621  ...  0.01556207 -0.0496328
  0.01784234]","[-0.03245811 -0.02514415  0.00115602 ... -0.02383763 -0.04086084
  0.04104017]","[-0.04693794  0.01309672  0.0224621  ... -0.02383763 -0.04086084
  0.04104017]",0,48,DBSCAN_0_AGG_48
5008,hasMissingValue,Respondent has a missing value for the number of days they used marijuana in the past year.,"[-0.03143592  0.03689647  0.03584057 ...  0.00429906  0.00065759
  0.02783074]","[-0.01543048  0.01197948 -0.01012669 ... -0.04814422  0.00890329
  0.06788844]","[-0.03143592  0.03689647  0.03584057 ... -0.04814422  0.00890329
  0.06788844]",0,1,DBSCAN_0_AGG_1
5009,askedTo,The question is asked to the respondent regarding marijuana use disorder severity.,"[-0.01013131 -0.02659564  0.01172979 ...  0.00395053 -0.01706567
 -0.00079068]","[-0.01406965 -0.02082762 -0.00631431 ... -0.01000919 -0.02155169
  0.03770836]","[-0.01013131 -0.02659564  0.01172979 ... -0.01000919 -0.02155169
  0.03770836]",-1,3,DBSCAN_-1_AGG_3
5010,indicates,Lifetime use of cocaine is a factor in determining the severity of cocaine use disorder.,"[-0.00405495  0.00510581  0.01268647 ...  0.01276262 -0.01809306
 -0.01623502]","[ 0.00800304 -0.02643275  0.00925272 ...  0.00253566 -0.03375414
  0.03978797]","[-0.00405495  0.00510581  0.01268647 ...  0.00253566 -0.03375414
  0.03978797]",0,1,DBSCAN_0_AGG_1
5011,indicates,Past year use of cocaine is a factor in determining the severity of cocaine use disorder.,"[-0.00405495  0.00510581  0.01268647 ...  0.01276262 -0.01809306
 -0.01623502]","[-0.00827337 -0.03504752 -0.01642148 ...  0.00075586 -0.03857982
  0.02906013]","[-0.00405495  0.00510581  0.01268647 ...  0.00075586 -0.03857982
  0.02906013]",0,1,DBSCAN_0_AGG_1
5012,hasVariable,The recency of cocaine use is determined using the CONDLREC variable.,"[-0.05701793  0.0334429  -0.01102782 ... -0.01939263 -0.04169334
  0.02671184]","[-0.0045619  -0.00480274  0.0056509  ... -0.02448839 -0.00538563
  0.00796501]","[-0.05701793  0.0334429  -0.01102782 ... -0.02448839 -0.00538563
  0.00796501]",0,4,DBSCAN_0_AGG_4
5013,hasVariable,Analysis of lifetime cocaine users based on the IRCOCRC variable.,"[-0.05701793  0.0334429  -0.01102782 ... -0.01939263 -0.04169334
  0.02671184]","[-0.00228709 -0.00490192  0.02348362 ... -0.01878119 -0.03482643
  0.01330216]","[-0.05701793  0.0334429  -0.01102782 ... -0.01878119 -0.03482643
  0.01330216]",0,4,DBSCAN_0_AGG_4
5014,hasClassification,Respondents are classified into substance use disorder categories based on their responses.,"[ 0.00379735 -0.01309802  0.00677022 ...  0.03303329 -0.01977439
 -0.00529887]","[-0.04624031  0.00809084  0.02210122 ...  0.01128108 -0.04007817
  0.01193611]","[ 0.00379735 -0.01309802  0.00677022 ...  0.01128108 -0.04007817
  0.01193611]",0,25,DBSCAN_0_AGG_25
5015,assesses,The survey assesses the severity of cocaine use disorder in the past year.,"[-0.00970186  0.00823682  0.0824984  ... -0.00435444 -0.02558948
 -0.00628749]","[ 0.01304745 -0.00548895 -0.01665526 ... -0.00976705 -0.04410927
  0.03214911]","[-0.00970186  0.00823682  0.0824984  ... -0.00976705 -0.04410927
  0.03214911]",0,19,DBSCAN_0_AGG_19
5016,involves,The survey involves the respondent answering questions.,"[-0.02129262  0.03105048  0.08872426 ... -0.00205359 -0.026804
  0.01895856]","[-0.00723937  0.04137551  0.063464   ... -0.01410161 -0.00413486
 -0.00855255]","[-0.02129262  0.03105048  0.08872426 ... -0.01410161 -0.00413486
 -0.00855255]",0,11,DBSCAN_0_AGG_11
5017,influences,Lifetime use of cocaine influences the assessment of substance use disorder.,"[ 0.00014272 -0.02162975  0.04230773 ... -0.04160158  0.00022115
  0.02139948]","[ 0.01025242 -0.02485007  0.00128075 ...  0.00257917 -0.03075083
  0.04903164]","[ 0.00014272 -0.02162975  0.04230773 ...  0.00257917 -0.03075083
  0.04903164]",0,24,DBSCAN_0_AGG_24
5018,indicatedBy,Past year use of cocaine is indicated by the variable CONDLREC.,"[-0.01161357  0.01012983  0.02633446 ...  0.00978803 -0.02145598
 -0.02308732]","[ 0.01609389  0.011017    0.00120156 ... -0.022985   -0.00851513
  0.00268841]","[-0.01161357  0.01012983  0.02633446 ... -0.022985   -0.00851513
  0.00268841]",0,1,DBSCAN_0_AGG_1
5019,contradictoryTo,There can be discrepancies between past year cocaine use and lifetime cocaine use according to IRCOCRC.,"[ 0.00528565 -0.01046069  0.01285464 ...  0.04547714 -0.02254895
 -0.00327292]","[ 0.03035873 -0.01934922  0.02731735 ... -0.00343187 -0.03451482
  0.02086302]","[ 0.00528565 -0.01046069  0.01285464 ... -0.00343187 -0.03451482
  0.02086302]",-1,18,DBSCAN_-1_AGG_18
5020,resultIn,Missing data in CONDLREC results in the classification of respondents as past year non-users.,"[ 0.02624306  0.01568959  0.01844267 ...  0.0128699  -0.00830364
  0.01536396]","[ 0.03328532  0.04783627  0.06334864 ... -0.00811995  0.03042709
 -0.00448221]","[ 0.02624306  0.01568959  0.01844267 ... -0.00811995  0.03042709
 -0.00448221]",-1,14,DBSCAN_-1_AGG_14
5021,classifiedAs,Severity of cocaine use disorder in the past year classifies respondents as having cocaine use disorder.,"[-0.02737297  0.00626891  0.01050323 ... -0.00176524 -0.00344227
 -0.00508645]","[-0.01199726 -0.00730687 -0.01117735 ...  0.00466627 -0.02645425
  0.01038155]","[-0.02737297  0.00626891  0.01050323 ...  0.00466627 -0.02645425
  0.01038155]",0,25,DBSCAN_0_AGG_25
5022,reports,Indicates the survey respondent reported lifetime use of heroin.,"[ 0.01841879  0.03728544  0.06310534 ... -0.01726551 -0.00583915
 -0.00873913]","[-0.02401666  0.0021249   0.02183834 ... -0.03000014 -0.02098356
 -0.00417741]","[ 0.01841879  0.03728544  0.06310534 ... -0.03000014 -0.02098356
 -0.00417741]",20,34,DBSCAN_20_AGG_34
5023,reports,Indicates the survey respondent reported past year use of heroin.,"[ 0.01841879  0.03728544  0.06310534 ... -0.01726551 -0.00583915
 -0.00873913]","[-0.02591057  0.01247647  0.00606723 ... -0.03937203 -0.03004203
  0.00133298]","[ 0.01841879  0.03728544  0.06310534 ... -0.03937203 -0.03004203
  0.00133298]",20,34,DBSCAN_20_AGG_34
5024,hasSeverity,Indicates the severity of heroin use disorder in the past year.,"[-0.04693608  0.01316283  0.02249082 ...  0.01557626 -0.04963084
  0.01785644]","[-0.0495595   0.00604116  0.00699833 ... -0.02806866 -0.05104077
  0.01213881]","[-0.04693608  0.01316283  0.02249082 ... -0.02806866 -0.05104077
  0.01213881]",0,48,DBSCAN_0_AGG_48
5025,isRecordedBy,Heroin use recorded through the variable for using heroin through needle.,"[ 0.01590985  0.02359195  0.01975808 ... -0.02607607  0.01057545
  0.01945654]","[-0.03467038  0.00581632  0.0218724  ... -0.02918159 -0.04713736
 -0.01468733]","[ 0.01590985  0.02359195  0.01975808 ... -0.02918159 -0.04713736
 -0.01468733]",0,34,DBSCAN_0_AGG_34
5026,isRecordedBy,Heroin use recorded through the variable for smoking heroin.,"[ 0.01590985  0.02359195  0.01975808 ... -0.02607607  0.01057545
  0.01945654]","[-0.02517528 -0.00608989  0.00099594 ... -0.03952098 -0.04601873
 -0.00272674]","[ 0.01590985  0.02359195  0.01975808 ... -0.03952098 -0.04601873
 -0.00272674]",0,34,DBSCAN_0_AGG_34
5027,isRecordedBy,Heroin use recorded through the variable for snorting heroin.,"[ 0.01590985  0.02359195  0.01975808 ... -0.02607607  0.01057545
  0.01945654]","[-0.04457745  0.01779435 -0.00813637 ... -0.03522239 -0.03412345
 -0.00788277]","[ 0.01590985  0.02359195  0.01975808 ... -0.03522239 -0.03412345
 -0.00788277]",0,34,DBSCAN_0_AGG_34
5028,hasRecency,Indicates if the recent heroin use is based on self-report.,"[-0.02884765  0.00104518  0.01933675 ... -0.02017131  0.03325668
 -0.01230592]","[-0.04480152  0.00554043  0.00056643 ... -0.01298625 -0.06316648
 -0.00951997]","[-0.02884765  0.00104518  0.01933675 ... -0.01298625 -0.06316648
 -0.00951997]",0,0,DBSCAN_0_AGG_0
5029,reportedBy,Heroin use disorder severity is reported by the respondent,"[-0.01336299  0.01241167  0.0286732  ... -0.00280006 -0.00969894
  0.00646596]","[-0.05404365 -0.00585188  0.02158066 ... -0.00251194 -0.04363447
 -0.00353216]","[-0.01336299  0.01241167  0.0286732  ... -0.00251194 -0.04363447
 -0.00353216]",0,34,DBSCAN_0_AGG_34
5030,relatedTo,Heroin use disorder severity is assessed based on the respondent’s lifetime use of heroin,"[-0.02368136 -0.00865122  0.02264102 ...  0.04982667  0.00767249
  0.0043085 ]","[-0.04380532 -0.00802696  0.01382756 ...  0.00052688 -0.03684942
 -0.00664902]","[-0.02368136 -0.00865122  0.02264102 ...  0.00052688 -0.03684942
 -0.00664902]",0,14,DBSCAN_0_AGG_14
5031,relatedTo,Heroin use disorder severity is assessed based on the respondent’s past year use of heroin,"[-0.02368136 -0.00865122  0.02264102 ...  0.04982667  0.00767249
  0.0043085 ]","[-0.04799464  0.00016745  0.00340551 ... -0.01218436 -0.04118961
 -0.00045077]","[-0.02368136 -0.00865122  0.02264102 ... -0.01218436 -0.04118961
 -0.00045077]",0,14,DBSCAN_0_AGG_14
5032,measuredBy,Past year use of heroin is tracked via needle use variable,"[ 0.02250335 -0.01708175  0.05335448 ... -0.02440462  0.00896421
  0.01160816]","[-0.03981598  0.01171457  0.01409209 ... -0.02649885 -0.03801027
 -0.01123304]","[ 0.02250335 -0.01708175  0.05335448 ... -0.02649885 -0.03801027
 -0.01123304]",0,19,DBSCAN_0_AGG_19
5033,measuredBy,Past year use of heroin is tracked via smoking use variable,"[ 0.02250335 -0.01708175  0.05335448 ... -0.02440462  0.00896421
  0.01160816]","[-0.03170031  0.00429772  0.01668437 ... -0.03545429 -0.04850385
 -0.0002579 ]","[ 0.02250335 -0.01708175  0.05335448 ... -0.03545429 -0.04850385
 -0.0002579 ]",0,19,DBSCAN_0_AGG_19
5034,measuredBy,Past year use of heroin is tracked via snuffing use variable,"[ 0.02250335 -0.01708175  0.05335448 ... -0.02440462  0.00896421
  0.01160816]","[-0.03560996  0.02110817 -0.01061853 ... -0.03506211 -0.03422423
 -0.00404237]","[ 0.02250335 -0.01708175  0.05335448 ... -0.03506211 -0.03422423
 -0.00404237]",0,19,DBSCAN_0_AGG_19
5035,editedBy,Heroin use disorder status may be edited based on recency variable IRHERRC,"[ 0.04090921 -0.00160247 -0.01619267 ... -0.00936541 -0.0071055
 -0.01346448]","[-0.05726161 -0.01645159 -0.00785493 ... -0.01998222 -0.02379472
  0.00605252]","[ 0.04090921 -0.00160247 -0.01619267 ... -0.01998222 -0.02379472
  0.00605252]",0,25,DBSCAN_0_AGG_25
5036,hasDisorderSeverity,Relates the severity of hallucinogen use disorder to the survey respondent.,"[-0.0348626  -0.00093234  0.02248909 ...  0.01244878 -0.03317667
  0.01723561]","[-0.02649626 -0.02064992  0.00021297 ... -0.01139768 -0.04009302
 -0.00107691]","[-0.0348626  -0.00093234  0.02248909 ... -0.01139768 -0.04009302
 -0.00107691]",0,48,DBSCAN_0_AGG_48
5037,usesInPastYear,Relates a survey respondent to their past year use of heroin.,"[-0.0624437  -0.00265005  0.02430833 ... -0.02565615 -0.00153711
  0.02224696]","[-0.026343   -0.00585319  0.00183139 ... -0.03301579 -0.04337311
  0.00148052]","[-0.0624437  -0.00265005  0.02430833 ... -0.03301579 -0.04337311
  0.00148052]",0,0,DBSCAN_0_AGG_0
5038,usesLifetime,Relates a survey respondent to their lifetime use of heroin.,"[-0.00554791  0.01060251  0.01358518 ... -0.00428047 -0.02897665
  0.00842433]","[-0.01963098 -0.01196534  0.00997474 ... -0.02715909 -0.03717725
  0.00024702]","[-0.00554791  0.01060251  0.01358518 ... -0.02715909 -0.03717725
  0.00024702]",0,0,DBSCAN_0_AGG_0
5039,classifiedAs,Classifies a respondent as a past year heroin user based on recency variables.,"[-0.02737297  0.00626891  0.01050323 ... -0.00176524 -0.00344227
 -0.00508645]","[-0.05920132 -0.01134598 -0.00199573 ... -0.02154052 -0.0067437
 -0.0226358 ]","[-0.02737297  0.00626891  0.01050323 ... -0.02154052 -0.0067437
 -0.0226358 ]",0,25,DBSCAN_0_AGG_25
5040,measuredBy,Relates heroin recency variables to the survey respondent for determining past year use.,"[ 0.02250335 -0.01708175  0.05335448 ... -0.02440462  0.00896421
  0.01160816]","[-0.05688216 -0.00781508  0.01809007 ... -0.02229128 -0.03051404
 -0.00865117]","[ 0.02250335 -0.01708175  0.05335448 ... -0.02229128 -0.03051404
 -0.00865117]",0,19,DBSCAN_0_AGG_19
5041,isNotPastYearUser,Relates non-past year heroin use status to the survey respondent.,"[-0.04958859  0.00873909 -0.01602646 ... -0.02046787 -0.00833663
  0.01888679]","[-0.05353888 -0.01690625  0.00195239 ... -0.0204784  -0.0558239
  0.01694964]","[-0.04958859  0.00873909 -0.01602646 ... -0.0204784  -0.0558239
  0.01694964]",0,0,DBSCAN_0_AGG_0
5042,timePeriod,Relates the past year time period to the survey respondent's heroin use.,"[-0.05338503 -0.02965533  0.06610611 ... -0.00856226 -0.01049217
  0.00058356]","[-0.04268814 -0.01876371  0.01795033 ... -0.02587372 -0.04050044
 -0.00476806]","[-0.05338503 -0.02965533  0.06610611 ... -0.02587372 -0.04050044
 -0.00476806]",0,13,DBSCAN_0_AGG_13
5043,investigates,The survey investigates the severity of hallucinogen use disorder in the past year.,"[-0.01106113 -0.00496867  0.03556525 ... -0.00845311 -0.02793201
 -0.01498377]","[-0.01980635 -0.0084652  -0.00551116 ... -0.02468636 -0.03180468
  0.00338348]","[-0.01106113 -0.00496867  0.03556525 ... -0.02468636 -0.03180468
  0.00338348]",0,19,DBSCAN_0_AGG_19
5044,hasRespondent,The survey includes respondents who provide data.,"[-0.01907173  0.0068396  -0.000789   ... -0.00588524  0.01846653
  0.00771249]","[ 0.01984462  0.04154463  0.06195394 ... -0.02481922  0.00341332
  0.0128869 ]","[-0.01907173  0.0068396  -0.000789   ... -0.02481922  0.00341332
  0.0128869 ]",0,46,DBSCAN_0_AGG_46
5045,hasSurveyPeriod,The severity of hallucinogen use disorder is evaluated over the past year.,"[-0.01066773  0.01933253  0.05045037 ... -0.01004363  0.00912925
 -0.00502544]","[-0.0298407  -0.01362571 -0.01194012 ... -0.02020143 -0.02217543
 -0.01052372]","[-0.01066773  0.01933253  0.05045037 ... -0.02020143 -0.02217543
 -0.01052372]",0,13,DBSCAN_0_AGG_13
5046,reports,Respondents report lifetime and past year use of heroin.,"[ 0.01845351  0.03726533  0.06306441 ... -0.01724418 -0.00582831
 -0.00877325]","[-0.03155251  0.00991592  0.03341808 ... -0.03717626 -0.02661821
 -0.00013561]","[ 0.01845351  0.03726533  0.06306441 ... -0.03717626 -0.02661821
 -0.00013561]",20,34,DBSCAN_20_AGG_34
5047,classifiedAs,Respondents can be classified as having a substance use disorder based on their reported data.,"[-0.02737297  0.00626891  0.01050323 ... -0.00176524 -0.00344227
 -0.00508645]","[-0.02883416  0.01917386  0.00607437 ...  0.00551187 -0.04531781
  0.01287632]","[-0.02737297  0.00626891  0.01050323 ...  0.00551187 -0.04531781
  0.01287632]",0,25,DBSCAN_0_AGG_25
5048,missesDataFor,Some respondents may be missing data on specific heroin use-related variables.,"[-0.00385895  0.02364407  0.04172642 ...  0.01927798 -0.0105861
  0.01704791]","[-0.02976851  0.01724979  0.0496762  ... -0.01662518 -0.02865219
  0.01069806]","[-0.00385895  0.02364407  0.04172642 ... -0.01662518 -0.02865219
  0.01069806]",-1,1,DBSCAN_-1_AGG_1
5049,hasSeverity,Links the respondent to the severity of inhalant use disorder they have faced in the past year.,"[-0.04693608  0.01316283  0.02249082 ...  0.01557626 -0.04963084
  0.01785644]","[-0.02699713 -0.00055432  0.01610917 ... -0.01074177 -0.05037422
  0.0088134 ]","[-0.04693608  0.01316283  0.02249082 ... -0.01074177 -0.05037422
  0.0088134 ]",0,48,DBSCAN_0_AGG_48
5050,reportsLifetimeUse,Indicates that the respondent has reported lifetime use of heroin.,"[-0.01260731  0.04555358  0.01754677 ... -0.01254353 -0.02294687
  0.00240949]","[-0.01567067 -0.00306554  0.02663166 ... -0.02013993 -0.01325218
 -0.00374088]","[-0.01260731  0.04555358  0.01754677 ... -0.02013993 -0.01325218
 -0.00374088]",0,0,DBSCAN_0_AGG_0
5051,isPastYearUser,Classifies the respondent as a past year user of heroin based on recency variables.,"[-0.02591205 -0.02329411 -0.02267481 ... -0.02434973 -0.00847314
  0.01109109]","[-0.05104568 -0.00443985 -0.00322636 ... -0.01873884 -0.00704687
 -0.01555568]","[-0.02591205 -0.02329411 -0.02267481 ... -0.01873884 -0.00704687
 -0.01555568]",0,0,DBSCAN_0_AGG_0
5052,hasUseDisorder,Indicates that the respondent has a disorder related to the use of heroin.,"[-0.01749099 -0.00218243  0.00346077 ...  0.00960429 -0.0527566
  0.00182198]","[-0.01712956 -0.00355819  0.01398146 ... -0.00145887 -0.03261178
  0.00026307]","[-0.01749099 -0.00218243  0.00346077 ... -0.00145887 -0.03261178
  0.00026307]",0,48,DBSCAN_0_AGG_48
5053,evaluatedBy,"Assessment of past year heroin use is determined using heroin recency variables (HRNDLREC, HRSMKREC, or HRSNFREC).","[ 0.00241378  0.02810674  0.03732503 ...  0.0079455   0.00686476
 -0.00802081]","[-0.04770939  0.01177408  0.02080319 ... -0.02508087 -0.02923315
 -0.01292362]","[ 0.00241378  0.02810674  0.03732503 ... -0.02508087 -0.02923315
 -0.01292362]",0,19,DBSCAN_0_AGG_19
5054,handledBy,Past year heroin use data is managed by specific editing and imputation procedures.,"[ 0.01748404  0.01745568  0.04081028 ...  0.01735642 -0.00333409
 -0.01233667]","[-0.04160203  0.00593204  0.03498416 ... -0.03764262 -0.02490182
 -0.00953792]","[ 0.01748404  0.01745568  0.04081028 ... -0.03764262 -0.02490182
 -0.00953792]",-1,25,DBSCAN_-1_AGG_25
5055,relatedToSeverity,Inhalant use disorder severity is related to the heroin use disorder questions.,"[-0.02718172  0.00457226  0.03205975 ...  0.028707   -0.01372036
  0.0118929 ]","[-0.04818033 -0.00171185  0.0181154  ... -0.01458659 -0.05340347
 -0.0063251 ]","[-0.02718172  0.00457226  0.03205975 ... -0.01458659 -0.05340347
 -0.0063251 ]",0,48,DBSCAN_0_AGG_48
5056,classifiedAs,Lifetime but not past year users of heroin can be classified as having heroin use disorder.,"[-0.02737297  0.00626891  0.01050323 ... -0.00176524 -0.00344227
 -0.00508645]","[-0.04595295  0.00177359  0.00552603 ... -0.01694691 -0.0246314
 -0.00098943]","[-0.02737297  0.00626891  0.01050323 ... -0.01694691 -0.0246314
 -0.00098943]",0,25,DBSCAN_0_AGG_25
5057,verifiedBy,"Past year users of heroin according to variables like HRNDLREC, HRSMKREC, or HRSNFREC are considered in heroin use disorder.","[-0.01763771 -0.00960951 -0.00857557 ... -0.00955629 -0.02476881
 -0.01077269]","[-0.04726988 -0.00310601  0.02046967 ... -0.01630044 -0.03575221
 -0.01234734]","[-0.01763771 -0.00960951 -0.00857557 ... -0.01630044 -0.03575221
 -0.01234734]",0,25,DBSCAN_0_AGG_25
5058,useLifetimeStatus,"Lifetime users of heroin are assessed with imputed recency variables like HRNDLREC, HRSMKREC, or HRSNFREC.","[-0.00382208  0.01226555  0.00672861 ...  0.01717758 -0.00956248
  0.03665132]","[-0.03457337  0.02677946  0.03964015 ... -0.03051994 -0.0087104
 -0.01112458]","[-0.00382208  0.01226555  0.00672861 ... -0.03051994 -0.0087104
 -0.01112458]",0,0,DBSCAN_0_AGG_0
5059,excludes,Excludes few respondents who were lifetime but not past year users of heroin and missing certain variables.,"[-0.00035321 -0.00082817  0.05409001 ...  0.00657249 -0.00280681
  0.00939251]","[-0.03065593  0.01082875  0.02171583 ... -0.02964962 -0.01925111
  0.00229518]","[-0.00035321 -0.00082817  0.05409001 ... -0.02964962 -0.01925111
  0.00229518]",0,11,DBSCAN_0_AGG_11
5060,assessedDuring,Relates the assessment of methamphetamine use disorder to the past year period.,"[ 0.0009044  -0.00010016  0.06833131 ...  0.01382896  0.00449754
 -0.00343377]","[-0.01949433  0.01206638  0.01144793 ... -0.01734261 -0.03161869
  0.0195974 ]","[ 0.0009044  -0.00010016  0.06833131 ... -0.01734261 -0.03161869
  0.0195974 ]",0,19,DBSCAN_0_AGG_19
5061,includes,Indicates that methamphetamine use disorder is a type of substance use disorder.,"[ 0.00277669  0.02550095  0.08001655 ... -0.02716463 -0.00093333
 -0.02520814]","[-0.00459749  0.00713545 -0.02137717 ... -0.00387695 -0.07472675
  0.00839567]","[ 0.00277669  0.02550095  0.08001655 ... -0.00387695 -0.07472675
  0.00839567]",0,11,DBSCAN_0_AGG_11
5062,assessedBy,Indicates that methamphetamine use disorder is assessed by considering past year users of methamphetamine.,"[-0.00878212  0.00385935  0.05408971 ...  0.00857022 -0.02010706
  0.00743616]","[ 0.00829318  0.02108585  0.00229543 ... -0.01514955 -0.04764168
  0.00120601]","[-0.00878212  0.00385935  0.05408971 ... -0.01514955 -0.04764168
  0.00120601]",0,19,DBSCAN_0_AGG_19
5063,definedBy,Indicates that lifetime use of methamphetamine is a defining factor for methamphetamine use disorder.,"[-0.01321992  0.00708792  0.06797601 ...  0.01848098 -0.02316849
 -0.00583107]","[ 0.01411311  0.00575422  0.01144863 ... -0.00090366 -0.04404035
  0.01618622]","[-0.01321992  0.00708792  0.06797601 ... -0.00090366 -0.04404035
  0.01618622]",0,25,DBSCAN_0_AGG_25
