entity,question_code,description
WithdrawalSymptom,UDMJWDSTMCH,Stomach ache as a withdrawal symptom of marijuana or any cannabis product use.
SubstanceUse,UDMJWDSTMCH,Use of marijuana or any cannabis product.
TimePeriod,UDMJWDSTMCH,Past 12 months period.
Respondent,UDMJWDSTMCH,Individual providing responses to the survey.
WithdrawalSymptom,UDMJWDSHAKE,Shaking or tremors experienced as a marijuana withdrawal symptom in the past 12 months.
Substance,UDMJWDSHAKE,Marijuana
TimePeriod,UDMJWDSHAKE,Past 12 months
Sweating,,MJ withdrawal symptom experienced in the past 12 months involving sweating.
MJ Withdrawal Symptom,,Marijuana (MJ) withdrawal symptoms experienced in the past 12 months.
Past 12 Months,,The time period during which the symptoms were experienced.
Fever,UDMJWDFEVER,A symptom related to marijuana withdrawal.
MarijuanaWithdrawal,UDMJWDFEVER,A state that may include symptoms such as fever following cessation of marijuana use.
Symptom,UDMJWDFEVER,"A physical or mental feature indicating a condition or disease, in this case, fever as a symptom of marijuana withdrawal."
Chills,UDMJWDCHILL,Reported symptom of chills in the past 12 months as part of marijuana withdrawal.
Marijuana Withdrawal Symptom,UDMJWDCHILL,Symptoms experienced when withdrawing from marijuana.
Substance Use,UDMJWDCHILL,Usage of substances like marijuana and the symptoms of withdrawal.
Mental Health Symptom,UDMJWDCHILL,Symptoms related to mental health including withdrawal symptoms from substances.
Survey Respondent,UDMJWDCHILL,A person participating in the survey responding to questions about their symptoms.
Headache,UDMJWDHEDAC,Symptom experienced during marijuana withdrawal in the past 12 months.
Marijuana Withdrawal Symptom,UDMJWDHEDAC,A cluster of symptoms including headache experienced after ceasing marijuana use in the past 12 months.
Symptom,UDMJWDHEDAC,"A specific condition experienced by the respondent, such as a headache, during marijuana withdrawal."
SubstanceUse,UDMJAVOIDWD,"Use of marijuana, any cannabis product, or another drug."
WithdrawalSymptoms,UDMJAVOIDWD,Symptoms experienced when attempting to quit or avoid marijuana or any cannabis product.
TimePeriod,UDMJAVOIDWD,Past 12 months.
SubstanceUse,UDMJAVWMARJ,Usage of marijuana or any cannabis product to avoid or get over withdrawal symptoms in the past 12 months.
Marijuana,UDMJAVWMARJ,"Any cannabis product, including marijuana, used to avoid or get over withdrawal symptoms."
WithdrawalSymptoms,UDMJAVWMARJ,Symptoms experienced from discontinuing marijuana or any cannabis product use.
TimePeriod,UDMJAVWMARJ,Past 12 months.
Respondent,UDMJAVWMARJ,Individual participating in the survey.
MarijuanaUseWithdrawal,,Use of something else to get over or avoid marijuana withdrawal symptoms in the past 12 months.
SubstanceUse,,General category for using substances to manage withdrawal symptoms.
TimeFrame,,Refers to the past 12 months.
Substance Use,UDCCTIMEUSE,Use of cocaine in the past 12 months.
Cocaine,UDCCTIMEUSE,A stimulant drug including forms like crack.
Time Period,UDCCTIMEUSE,The past 12 months.
Effects of Cocaine,UDCCTIMEUSE,The effects experienced from cocaine use.
Recovery from Cocaine,UDCCTIMEUSE,The period spent getting over the effects of cocaine.
SubstanceUse,,Time spent getting or trying to get cocaine in the past 12 months.
Cocaine,,Type of substance being queried.
SurveyPeriod,,The time period of the past 12 months.
CocaineUse,UDCCLRGAMTS,Usage patterns of cocaine over the past 12 months.
TimePeriod,UDCCLRGAMTS,Past 12 months
Amount,UDCCLRGAMTS,Larger amounts of cocaine use
Duration,UDCCLRGAMTS,Longer time of cocaine use
UsersIntent,UDCCLRGAMTS,The intended amount or duration of cocaine use
Substance,UDCCWANTBAD,Cocaine
TimePeriod,UDCCWANTBAD,Past 12 months
MentalState,UDCCWANTBAD,Strong desire to use cocaine
FocusDisruption,UDCCWANTBAD,Inability to think of anything else
Question,UDCCWANTBAD,"During the past 12 months, were there times when you wanted to use cocaine so badly that you couldn't think of anything else?"
Substance,UDCCSTRURGE,"Refers to the specific substance, cocaine, that the respondent may have used."
TimePeriod,UDCCSTRURGE,Indicates the timeframe in which the respondent had the urge to use cocaine.
MentalState,UDCCSTRURGE,Describes a strong craving or urge to use the substance identified.
Respondent,UDCCSTRURGE,Refers to the individual answering the survey.
Substance,UDCCNEEDMOR,"Cocaine, a central nervous system stimulant."
Need,UDCCNEEDMOR,Requirement to use a large quantity to achieve the desired effect.
MentalState,UDCCNEEDMOR,Desired feeling or effect that the user seeks to achieve with cocaine.
CocaineUseEffect,UDCCLESSEFF,Effect of using the same amount of cocaine over time.
Tolerance,UDCCLESSEFF,"A decrease in the effect of cocaine with the same usage amount, indicating increased tolerance."
Respondent,UDCCLESSEFF,Individual who responds to the survey question.
Cocaine,UDCCTRYSTOP,Cocaine is a strong stimulant most commonly used as a recreational drug.
SubstanceUseReductionAttempt,UDCCTRYSTOP,"An attempt to cut down or stop the use of a substance, in this case, cocaine."
TimePeriod,UDCCTRYSTOP,The past 12 months period during which attempts to reduce cocaine use are assessed.
CocaineUseAttempt,UDCCNOTSTOP,Instances where an individual tried to cut down or stop using cocaine but was unable to do so more than one time in the past 12 months.
TimePeriod,UDCCNOTSTOP,The time frame of the past 12 months during which the survey respondent tried but was unable to cut down or stop using cocaine.
SubstanceUseDisorder,UDCCNOTSTOP,A condition in which the use of a substance like cocaine leads to significant impairment or distress.
SurveyRespondent,UDCCNOTSTOP,The individual participating in the NSDUH survey.
CocaineUse,UDCCWSHSTOP,The use of cocaine by the respondent.
WishToCutDown,UDCCWSHSTOP,The respondent's desire to reduce or stop using cocaine.
Past12Months,UDCCWSHSTOP,The time period referring to the past 12 months.
PhysicalHealthProblems,UDCCHLTHPRB,Long-lasting or repeated physical health problems experienced by the respondent.
CocaineUse,UDCCHLTHPRB,Use of cocaine by the respondent.
SurveyPeriod,UDCCHLTHPRB,The past 12 months period referred to in the survey.
Respondent,UDCCHLTHPRB,The individual providing responses in the NSDUH survey.
CocaineUse,UDCCHLTHCTD,Continued use of cocaine despite physical health consequences.
PhysicalHealthProblems,UDCCHLTHCTD,Long-lasting or repeated physical health problems caused or worsened by cocaine use.
EmotionOrMentalHealthProblems,UDCCMNTLPRB,Any long-lasting or repeated problems with emotions or mental health
CocaineUse,UDCCMNTLPRB,Using cocaine in the past 12 months
SurveyPeriod,UDCCMNTLPRB,The past 12 months
CocaineUse,UDCCMNTLCTD,Usage of cocaine by the individual.
MentalHealthProblems,UDCCMNTLCTD,Problems or issues related to emotions or mental health.
Individual,UDCCMNTLCTD,The respondent of the survey.
SubstanceUseActivityImpact,UDCCSTOPACT,Impact of cocaine use on engaging in important activities over the past 12 months.
ImportantActivities,UDCCSTOPACT,"Important activities such as spending time with friends and family, attending events, participating in hobbies and sports, and attending religious services."
CocaineUse,UDCCSTOPACT,Use of cocaine by the respondent.
TimePeriod,UDCCSTOPACT,Past 12 months.
CocaineUseProblem,UDCCWORKPRB,"Any serious problems at work, school, or home due to cocaine use in the past 12 months."
WorkProblem,UDCCWORKPRB,Serious problems related to work due to cocaine use.
SchoolProblem,UDCCWORKPRB,Serious problems related to school due to cocaine use.
HomeProblem,UDCCWORKPRB,Serious problems related to home due to cocaine use.
SurveyPeriod,UDCCWORKPRB,The past 12 months.
Substance,UDCCFMLYPRB,Type of drug involved.
Problem,UDCCFMLYPRB,Issues caused or worsened by substance use.
Relationship,UDCCFMLYPRB,People affected by the respondent's substance use.
SurveyPeriod,UDCCFMLYPRB,Time period during which the events are evaluated.
CocaineUse,UDCCFMLYCTD,Continued use of cocaine.
FamilyProblems,UDCCFMLYCTD,Arguments or problems with family.
FriendProblems,UDCCFMLYCTD,Arguments or problems with friends.
Substance,UDCCGETHURT,Cocaine
Behavior,UDCCGETHURT,Repeatedly getting into situations where using cocaine increased chances of getting physically hurt.
TimePeriod,UDCCGETHURT,Past 12 months
Substance,UDCCWDFLBLU,Cocaine
Withdrawal Symptom,UDCCWDFLBLU,Feeling blue or down
TimeFrame,UDCCWDFLBLU,Past 12 months
WithdrawalSymptom,UDCCWDTIRED,Feeling tired or exhausted as a withdrawal symptom.
Substance,UDCCWDTIRED,Cocaine
TimePeriod,UDCCWDTIRED,Past 12 months
Action,UDCCWDTIRED,Used less or stopped using
WithdrawalSymptom,UDCCWDDREAM,Having bad dreams
Substance,UDCCWDDREAM,Cocaine
TimePeriod,UDCCWDDREAM,Past 12 Months
CocaineWithdrawalSymptom,UDCCWDSLEEP,Trouble sleeping or sleeping more than usual as a symptom of cocaine withdrawal.
SleepIssue,UDCCWDSLEEP,Having trouble sleeping or sleeping more than you normally do.
Past12Months,UDCCWDSLEEP,The time period in the past 12 months.
Hunger,UDCCWDHNGRY,Feeling hungry more often as a symptom.
CocaineWithdrawal,UDCCWDHNGRY,Cocaine withdrawal symptom.
SurveyPeriod,UDCCWDHNGRY,Past 12 months.
CocaineWithdrawalSymptom,UDCCWDSITST,Symptoms experienced during cocaine withdrawal in the past 12 months.
FeelingSlowedDown,UDCCWDSITST,Feeling very slowed down as a symptom of cocaine withdrawal.
FeelingRestless,UDCCWDSITST,Feeling like you couldn’t sit still as a symptom of cocaine withdrawal.
SubstanceUse,UDCCAVOIDWD,Using cocaine or another drug to get over or avoid cocaine withdrawal symptoms in the past 12 months.
Cocaine,UDCCAVOIDWD,A stimulant drug that is often associated with addiction.
WithdrawalSymptom,UDCCAVOIDWD,Physical or mental symptoms that occur after stopping or reducing intake of a drug.
TimePeriod,UDCCAVOIDWD,In the past 12 months.
OtherDrug,UDCCAVOIDWD,Any other drug used to alleviate cocaine withdrawal symptoms.
SurveyRespondent,UDCCAVOIDWD,Individual responding to the survey question.
SubstanceUsage,UDCCAVWCOCN,Used cocaine to get over or avoid cocaine withdrawal in the past 12 months.
Substance,UDCCAVWCOCN,Cocaine used to avoid withdrawal symptoms.
TimePeriod,UDCCAVWCOCN,Past 12 months.
Withdrawal,UDCCAVWCOCN,Cocaine withdrawal symptoms.
MentalHealth,UDCCAVWCOCN,Mental health issue related to substance use (cocaine withdrawal).
Substance,UDCCAVWMETH,Methamphetamine
Withdrawal_Avoidance_Activity,UDCCAVWMETH,Used methamphetamine to get over or avoid cocaine withdrawal in the past 12 months.
PrescriptionStimulants,UDCCAVWSTIM,Prescription stimulants or uppers
GettingOverWithdrawal,UDCCAVWSTIM,Using stimulants to get over or avoid cocaine withdrawal
Past12Months,UDCCAVWSTIM,Time frame in the past 12 months
SubstanceUse,UDCCAVWOTHR,Use of other substances to overcome or avoid cocaine withdrawal in the past 12 months.
TimePeriod,UDCCAVWOTHR,The past 12 months.
HeroinUse,UDHETIMEUSE,Use of heroin during the past 12 months
TimeSpentUsing,UDHETIMEUSE,Time spent using heroin in the past 12 months
EffectsOfHeroin,UDHETIMEUSE,Feeling the effects or getting over the effects of heroin in the past 12 months
Heroin,UDHETIMEGET,The substance in focus; specifically heroin.
TimeSpent,UDHETIMEGET,Amount of time spent trying to get or getting heroin.
Past12Months,UDHETIMEGET,The time frame during which the event is being measured.
SubstanceUse,UDHELRGAMTS,Use of heroin in larger amounts or for a longer time than intended.
TimePeriod,UDHELRGAMTS,Past 12 months.
HeroinUsageDesire,UDHEWANTBAD,Intensity of desire to use heroin in the past 12 months.
SurveyRespondent,UDHEWANTBAD,An individual who responds to the NSDUH survey.
TimePeriod,UDHEWANTBAD,"The specific time frame in which the respondent reflects on their heroin usage desire, specifically the past 12 months."
StrongUrgeToUseHeroin,UDHESTRURGE,Having a strong urge to use heroin in the past 12 months.
Heroin,UDHESTRURGE,A type of illicit drug.
TimePeriod,UDHESTRURGE,The time period of the past 12 months.
SurveyRespondent,UDHESTRURGE,The individual participating in the survey.
HeroinUsePattern,UDHENEEDMOR,Pattern of heroin use requiring increased amounts to achieve desired effects.
DrugQuantity,UDHENEEDMOR,Amount of heroin used by the respondent.
DesiredEffect,UDHENEEDMOR,The feeling or effect the respondent aims to achieve by using heroin.
HeroinUsageEffect,UDHELESSEFF,Effect of using the same amount of heroin on the respondent compared to the past.
SubstanceUseDisorder,UDHELESSEFF,Implied assessment of a potential substance use disorder related to heroin.
Respondent,UDHELESSEFF,The individual responding to the survey question.
HeroinUse,UDHETRYSTOP,Use of heroin.
CutDownOrStopAttempt,UDHETRYSTOP,Attempt to cut down or stop using heroin.
TimePeriod_12Months,UDHETRYSTOP,A time period of the past 12 months.
HeroinUse,UDHENOTSTOP,Use of heroin by the respondent.
CutDownAttempt,UDHENOTSTOP,Attempt to cut down or stop heroin use.
FailureToStop,UDHENOTSTOP,Inability to cut down or stop heroin use.
SurveyPeriod,UDHENOTSTOP,Time period of the past 12 months.
HeroinUse,UDHEWSHSTOP,The act of using heroin by an individual.
DesireToCutDownOrStop,UDHEWSHSTOP,The wish or desire to cut down or stop the use of heroin.
TimePeriod_Past12Months,UDHEWSHSTOP,The time frame of the past 12 months in which the respondent's heroin use is considered.
PhysicalHealthProblems,UDHEHLTHPRB,Long-lasting or repeated physical health problems.
HeroinUse,UDHEHLTHPRB,The use of heroin.
SurveyPeriod,UDHEHLTHPRB,The past 12 months.
Substance,UDHEHLTHCTD,Heroin
PhysicalHealthProblems,UDHEHLTHCTD,Long-lasting or repeated physical health problems caused or worsened by heroin use
ContinuedUse,UDHEHLTHCTD,Continued use of heroin despite physical health problems
Substance,UDHEMNTLPRB,Heroin
TimePeriod,UDHEMNTLPRB,Past 12 months
MentalHealthIssue,UDHEMNTLPRB,Long-lasting or repeated emotional or mental health problems
Respondent,UDHEMNTLPRB,"Civilian, noninstitutionalized population aged 12 or older in the United States"
HeroinUse,UDHEMNTLCTD,Continued heroin use despite problems with emotions or mental health
ProblemsWithEmotions,UDHEMNTLCTD,Long-lasting or repeated problems with emotions caused by heroin use
MentalHealthProblems,UDHEMNTLCTD,Mental health issues caused or worsened by heroin use
HeroinUse,UDHESTOPACT,Use of heroin by the respondent.
ActivityReduction,UDHESTOPACT,Reduction or ceasing of important activities.
ImportantActivity,UDHESTOPACT,"Types of important activities affected such as spending time with friends and family, attending events, participating in hobbies and sports, and religious services."
TimePeriod,UDHESTOPACT,The past 12 months.
HeroinUse,UDHEWORKPRB,Use of heroin
SeriousProblems,UDHEWORKPRB,"Serious problems at work, school, or home"
WorkProblem,UDHEWORKPRB,Problems at work due to heroin use
SchoolProblem,UDHEWORKPRB,Problems at school due to heroin use
HomeProblem,UDHEWORKPRB,Problems at home due to heroin use
HeroinUser,UDHEWORKPRB,Person using heroin
Substance,UDHEFMLYPRB,The substance being referred to in the question.
SocialRelations,UDHEFMLYPRB,Family members of the respondent.
SocialRelations,UDHEFMLYPRB,Friends of the respondent.
BehavioralHealthIssue,UDHEFMLYPRB,Arguments or problems caused or worsened by the respondent's use of heroin.
TimePeriod,UDHEFMLYPRB,The time period during which the events occurred.
HeroinUse,UDHEFMLYCTD,Usage of heroin despite causing arguments or problems with family or friends.
FamilyConflict,UDHEFMLYCTD,Arguments or problems with family or friends caused by heroin use.
ContinuedUse,UDHEFMLYCTD,Continuation of a behavior despite negative consequences.
HeroinUse,UDHEGETHURT,Instances of heroin use by the respondent.
PhysicalInjuryRisk,UDHEGETHURT,Risk of getting physically hurt due to heroin use.
SurveyPeriod,UDHEGETHURT,Past 12 months time period.
IllegalSubstance,UDHEWDFLBLU,Heroin is an illegal opioid drug known for its high potential for addiction and the severe withdrawal symptoms it can cause.
WithdrawalSymptom,UDHEWDFLBLU,"A mental state characterized by sadness or depression, often experienced as a symptom of withdrawal from heroin."
SurveyPeriod,UDHEWDFLBLU,A time frame used in the survey to identify the period during which the withdrawal symptom was experienced.
HeroinWithdrawalSymptom,UDHEWDVOMIT,Vomiting or feeling nauseous marked as heroin withdrawal symptom in the past 12 months.
HeroinUseDisorder,UDHEWDVOMIT,A condition characterized by patterns of heroin use leading to significant impairment or distress.
TimePeriod,UDHEWDVOMIT,Time period of the past 12 months.
Substance,UDHEWDVOMIT,Heroin
WithdrawalSymptom,UDHEWDCRAMP,Experiencing muscle cramps or aches as a withdrawal symptom in the past 12 months.
SurveyPeriod,UDHEWDCRAMP,"The time period over which the symptom was experienced, specifically the past 12 months."
Teary Eyes,,Symptom of teary eyes
Runny Nose,,Symptom of runny nose
Withdrawal Symptom,,Symptoms experienced during drug withdrawal
Substance Use Disorder,,Disorder arising from drug use
HeroinWithdrawalSymptoms,UDHEWDSWEAT,"Symptoms of heroin withdrawal experienced in the past 12 months, including feeling sweaty, having enlarged eye pupils, or having body hair standing up on your skin."
Sweaty,UDHEWDSWEAT,Feeling sweaty as a symptom of heroin withdrawal.
EnlargedPupils,UDHEWDSWEAT,Having enlarged eye pupils as a symptom of heroin withdrawal.
BodyHairStandingUp,UDHEWDSWEAT,Having body hair standing up on your skin as a symptom of heroin withdrawal.
WithdrawalSymptom,UDHEWDDIARR,Having diarrhea as a symptom of heroin withdrawal in the past 12 months
Substance,UDHEWDDIARR,Heroin
TimePeriod,UDHEWDDIARR,Past 12 months
Question,UDHEWDYAWNS,Yawning - Heroin Withdrawal Symptom in the Past 12 Months
Symptom,UDHEWDYAWNS,Yawning
Substance,UDHEWDYAWNS,Heroin
WithdrawalSymptom,UDHEWDYAWNS,Heroin Withdrawal Symptom
TimePeriod,UDHEWDYAWNS,Past 12 Months
HeroinWithdrawalSymptom,UDHEWDFEVER,Fever as a symptom of heroin withdrawal.
Fever,UDHEWDFEVER,Having a fever.
SurveyPeriod,UDHEWDFEVER,The past 12 months.
Respondent,UDHEWDFEVER,Individual taking the NSDUH survey.
HeroinUse,UDHEWDFEVER,Use of heroin by the respondent.
HeroinWithdrawalSymptom,UDHEWDSLEEP,Having trouble sleeping due to heroin withdrawal in the past 12 months.
SleepTrouble,UDHEWDSLEEP,Having trouble sleeping.
Substance,UDHEWDSLEEP,Heroin.
WithdrawalSymptom,UDHEWDSLEEP,Symptoms experienced during withdrawal.
TimePeriod,UDHEWDSLEEP,Past 12 months.
HeroinUseForWithdrawal,UDHEAVOIDWD,Use of heroin or another drug to avoid heroin withdrawal symptoms in the past 12 months.
Heroin,,A substance (drug) used in the context of the question.
OtherDrugs,,Other drugs used to avoid withdrawal symptoms.
WithdrawalSymptoms,,Symptoms experienced by individuals when they stop using heroin.
TimePeriod_12Months,,The past 12 months.
HeroinUse,UDHEAVWHERN,Use of heroin to get over or avoid withdrawal symptoms during the past 12 months
WithdrawalSymptoms,UDHEAVWHERN,Symptoms experienced during heroin withdrawal
TimePeriod,UDHEAVWHERN,Past 12 months
SubstanceUse,UDHEAVWHERN,"The use of substances, in this case, heroin"
Respondent,UDHEAVWHERN,Individual who answers the survey questions
PrescriptionPainReliever,UDHEAVWPNRL,Used prescription pain relievers to get over or avoid withdrawal symptoms in the past 12 months.
WithdrawalSymptom,UDHEAVWPNRL,Symptoms experienced when stopping or reducing the intake of a substance.
TimePeriod,UDHEAVWPNRL,Past 12 months.
SubstanceUse,UDHEAVWOTHR,Used something else to get over or avoid heroin withdrawal in the past 12 months.
Withdrawal,UDHEAVWOTHR,State of experiencing symptoms due to cessation or reduction in heroin use.
TimePeriod,UDHEAVWOTHR,Past 12 months.
Substance,,"Hallucinogens such as LSD, PCP, peyote, and other related substances."
Activity,,Spending time trying to get or getting hallucinogens.
Question,UDHATIMEGET,Question about spending a great deal of time getting or trying to get hallucinogens in the past 12 months.
HallucinogenUse,UDHALRGAMTS,Usage of hallucinogens in larger amounts or for longer time during the past 12 months than intended.
TimePeriod,UDHALRGAMTS,The past 12 months.
Hallucinogens_Use_Desire,UDHAWANTBAD,Desire to use hallucinogens so badly that it affects other thoughts.
Time_Period,UDHAWANTBAD,Past 12 months.
StrongUrgeToUseHallucinogens,UDHASTRURGE,Indicator if the respondent had a strong urge to use hallucinogens in the past 12 months.
TimePeriod,UDHASTRURGE,Past 12 months.
HallucinogenUse,UDHANEEDMOR,Usage of hallucinogens by the respondent.
RequiredDosage,UDHANEEDMOR,Amount of hallucinogens required by the respondent to achieve the desired feeling.
Respondent,UDHANEEDMOR,The individual answering the survey questions.
Hallucinogen,UDHALESSEFF,A class of drugs that cause profound distortions in a person's perceptions of reality.
Effect,UDHALESSEFF,"The change produced by a particular influence, in this case, the impact of hallucinogens on a person."
UsagePattern,UDHALESSEFF,The frequency and amount of hallucinogen use by the respondent.
HallucinogenUse,UDHATRYSTOP,Use of hallucinogens by the respondent.
AttemptToCutDown,UDHATRYSTOP,Attempt to reduce or stop using hallucinogens in the past 12 months.
Past12Months,UDHATRYSTOP,The time period of the past 12 months.
Respondent,UDHATRYSTOP,The individual answering the survey question.
SubstanceUseAttempt,,Attempt to cut down or stop using hallucinogens more than one time in the past 12 months.
TimePeriod,,The past 12 months.
Substance,,Hallucinogens.
Substance Use,UDHAWSHSTOP,The desire to cut down or stop using hallucinogens.
Time Period,UDHAWSHSTOP,Past 12 months.
Substance Type,UDHAWSHSTOP,Hallucinogens.
Mental Health,UDHAWSHSTOP,Desire or intention related to substance use behavior change.
Hallucinogens,,Substance being referred to in the question.
PhysicalHealthProblems,,Physical health issues that are long-lasting or repeated.
Past12Months,,The time period during which the health problems occurred or were worsened.
Hallucinogens,UDHAHLTHCTD,Substance category: hallucinogens.
PhysicalHealthProblems,UDHAHLTHCTD,Issues related to physical health affected by substance use.
Respondent,UDHAHLTHCTD,Individual taking the NSDUH survey.
MentalHealthProblem,UDHAMNTLPRB,Long-lasting or repeated problems with emotions or mental health.
HallucinogenUse,UDHAMNTLPRB,"Use of hallucinogens such as LSD, psilocybin, etc."
TimePeriod,UDHAMNTLPRB,Past 12 months.
Respondent,UDHAMNTLPRB,Individual who is answering the survey.
HallucinogenUse,UDHAMNTLCTD,Continued use of hallucinogens despite emotional or mental health problems
MentalHealthIssues,,Problems related to emotions or mental health
HallucinogenUse,UDHASTOPACT,Use of hallucinogens by the respondent during the past 12 months.
ImportantActivities,UDHASTOPACT,Important activities that the respondent may have given up or spent less time on.
ActivityReduction,UDHASTOPACT,Reduction in time spent on important activities due to hallucinogen use.
TimePeriod,UDHASTOPACT,Past 12 months.
HallucinogenUse,UDHAWORKPRB,Use of hallucinogens by the respondent.
SeriousProblems,UDHAWORKPRB,Serious problems caused by hallucinogen use.
Work,UDHAWORKPRB,"Problems at work (e.g., missing work, getting demoted, losing job)."
School,UDHAWORKPRB,"Problems at school (e.g., missing school, getting suspended, dropping out)."
Home,UDHAWORKPRB,"Problems at home (e.g., failing to take care of family)."
SurveyPeriod,UDHAWORKPRB,The time period of the past 12 months.
HallucinogenUse,UDHAFMLYPRB,Use of hallucinogens in the past 12 months.
FamilyProblems,UDHAFMLYPRB,Problems with family caused or worsened by hallucinogen use.
FriendProblems,UDHAFMLYPRB,Problems with friends caused or worsened by hallucinogen use.
TimePeriod,UDHAFMLYPRB,Past 12 months.
HallucinogenUse,UDHAFMLYCTD,Continued use of hallucinogens despite causing arguments or problems with family or friends
ArgumentsWithFamilyOrFriends,UDHAFMLYCTD,Arguments or problems with family or friends caused by hallucinogen use
FamilyOrFriends,UDHAFMLYCTD,Family members or friends affected by hallucinogen use
Hallucinogen,UDHAGETHURT,Type of substance used by the respondent.
PhysicalInjury,UDHAGETHURT,Physically getting hurt as a result of using hallucinogens.
TimePeriod,UDHAGETHURT,The past 12 months.
Respondent,UDHAGETHURT,The individual who is responding to the survey.
InhalantUse,UDINTIMEUSE,Use of inhalants by the individual during the past 12 months.
EffectsOfInhalants,UDINTIMEUSE,Feeling the effects of inhalants during the past 12 months.
RecoveryFromInhalants,UDINTIMEUSE,Getting over the effects of inhalants during the past 12 months.
TimeSpentUsing,UDINTIMEUSE,Amount of time spent using inhalants during the past 12 months.
SurveyPeriod,UDINTIMEUSE,The period of the past 12 months referred to in the survey.
Respondent,UDINTIMEUSE,The individual responding to the survey question.
InhalantUse,UDINTIMEGET,Spending a great deal of time getting or trying to get inhalants in the past 12 months.
TimePeriod,UDINTIMEGET,The time period of the past 12 months.
Respondent,UDINTIMEGET,The person who is responding to the survey.
SubstanceUseBehavior,UDINLRGAMTS,Behavior involving using inhalants in larger amounts or for a longer time than intended.
TimePeriod,UDINLRGAMTS,The past 12 months.
Inhalants,UDINLRGAMTS,A specific type of substance.
Substance,UDINWANTBAD,"Type of substance used, in this case, inhalants."
Desire,UDINWANTBAD,The intensity of the desire to use inhalants.
TimePeriod,UDINWANTBAD,"The specific time period being considered, in this case, the past 12 months."
CognitiveEffect,UDINWANTBAD,The cognitive impact of the desire for using inhalants.
Respondent,UDINWANTBAD,The individual answering the survey question.
SurveyQuestion,UDINSTRURGE,Question regarding strong urge to use inhalants in the past 12 months.
SubstanceUse,UDINSTRURGE,Refers to the usage of inhalants.
TimePeriod,UDINSTRURGE,Past 12 months.
InhalantUse,UDINNEEDMOR,Need for a larger amount of inhalants to achieve desired effect.
Respondent,UDINNEEDMOR,Individual participating in the survey.
InhalantUseEffect,UDINLESSEFF,Effect of using the same amount of inhalants over time.
SubstanceUse,UDINLESSEFF,General category for use of substances including inhalants.
InhalantUseReductionAttempt,UDINTRYSTOP,Attempt to cut down or stop inhalant use in the past 12 months.
Individual,UDINTRYSTOP,Person who is responding to the survey question regarding inhalant use.
TimePeriod,UDINTRYSTOP,Past 12 months.
InhalantUseIssue,UDINNOTSTOP,Struggle with reducing or stopping the use of inhalants.
SurveyPeriod,UDINNOTSTOP,"The time frame referenced in the question, which is the past 12 months."
DesireToCutDownInhalantsUse,UDINWSHSTOP,Indicates whether the respondent wished to cut down or stop using inhalants in the past 12 months.
InhalantsUse,UDINWSHSTOP,The usage of inhalants by the respondent.
TimePeriod_12Months,UDINWSHSTOP,The period of the past 12 months referenced in the question.
Inhalants,UDINHLTHPRB,Substances inhaled for their psychoactive effects
Physical Health Problems,UDINHLTHPRB,Any long-lasting or repeated physical health issues
12-Month Period,UDINHLTHPRB,Time period referring to the past 12 months
Respondent,UDINHLTHPRB,Individual participating in the survey
Cause,UDINHLTHPRB,Factor creating or exacerbating physical health problems
SubstanceUse,UDINHLTHCTD,The act of continuing to use inhalants despite adverse effects on physical health.
Substance,UDINHLTHCTD,Inhalants
HealthProblem,UDINHLTHCTD,Physical health problems caused or worsened by inhalants.
SubstanceUser,UDINHLTHCTD,Individual who continues to use inhalants.
MentalHealthProblem,UDINMNTLPRB,Long-lasting or repeated problems with emotions or mental health.
InhalantUse,UDINMNTLPRB,Use of inhalants during the past 12 months.
Inhalants,UDINMNTLCTD,"Substance used by the respondent, specifically inhalants."
Emotional Problems,UDINMNTLCTD,Long-lasting or repeated problems with emotions reported by the respondent.
Mental Health Problems,UDINMNTLCTD,Long-lasting or repeated problems with mental health reported by the respondent.
Substance Use,UDINMNTLCTD,Act of using inhalants by the respondent.
Respondent,UDINMNTLCTD,Individual participating in the survey.
Substance Use,,Use of inhalants in the past 12 months.
Activity Reduction,,Reduction in important activities due to inhalant use.
Spending Time with Friends and Family,,Spending less time with friends and family due to inhalant use.
Special Events at Work or School,,Attending fewer special events at work or school due to inhalant use.
Hobbies and Sports,,Participating less in hobbies and sports due to inhalant use.
Religious Services and Events,,Attending fewer religious services and events due to inhalant use.
Inhalant Use Problem,UDINWORKPRB,"Problems at work, school, or home due to inhalant use in the past 12 months."
Work Problems,UDINWORKPRB,Serious problems at work due to inhalant use.
School Problems,UDINWORKPRB,Serious problems at school due to inhalant use.
Home Problems,UDINWORKPRB,Serious problems at home due to inhalant use.
Time Period,UDINWORKPRB,Past 12 months.
Missing Work or School,UDINWORKPRB,Missed a lot of work or school due to inhalant use.
Job Loss,UDINWORKPRB,Lost a job or had hours cut due to inhalant use.
Job Attendance,UDINWORKPRB,Not able to get or keep a job due to inhalant use.
Suspension or Expulsion,UDINWORKPRB,Got suspended or expelled from school due to inhalant use.
Family Neglect,UDINWORKPRB,Failed to take care of family responsibilities due to inhalant use.
InhalantUse,UDINFMLYPRB,Use of inhalants by the respondent.
FamilyInteraction,UDINFMLYPRB,Interaction with family.
FriendInteraction,UDINFMLYPRB,Interaction with friends.
Argument,UDINFMLYPRB,Argument experienced by the respondent.
Problem,UDINFMLYPRB,Problem experienced by the respondent.
